Stephen LEE POSITION,Stephen LEE LAP TIME,Stephen LEE ELAPSED TIME,Peter DARAZS POSITION,Peter DARAZS LAP TIME,Peter DARAZS ELAPSED TIME,Tomas GRESCHNER POSITION,Tomas GRESCHNER LAP TIME,Tomas GRESCHNER ELAPSED TIME,LI Ye POSITION,LI Ye LAP TIME,LI Ye ELAPSED TIME,Rusty SMITH POSITION,Rusty SMITH LAP TIME,Rusty SMITH ELAPSED TIME
3,10.706,10.706,1,10.341,10.341,2,10.537,10.537,5,11.228,11.228,4,10.958,10.958
3,15.070,25.776,1,15.239,25.580,2,15.199,25.735,4,14.846,26.074,5,15.450,26.407
4,13.928,39.703,3,14.088,39.667,1,13.777,39.512,5,13.781,39.855,2,13.243,39.650
4,12.180,51.883,2,12.074,51.740,1,12.071,51.582,5,12.270,52.124,3,12.166,51.816
4,11.401,1:03.284,1,11.304,1:03.044,5,11.860,1:03.442,2,11.013,1:03.137,3,11.418,1:03.233
5,10.420,1:13.703,3,10.325,1:13.368,2,9.758,1:13.199,1,9.925,1:13.062,4,10.407,1:13.639
4,9.996,1:23.699,3,10.317,1:23.684,2,10.072,1:23.270,1,10.093,1:23.155,5,10.125,1:23.763
4,10.085,1:33.783,3,9.912,1:33.596,1,10.053,1:33.323,2,10.271,1:33.425,5,10.028,1:33.790
4,9.328,1:43.111,3,9.394,1:42.989,1,9.395,1:42.717,2,9.365,1:42.790,5,9.374,1:43.164
5,9.030,1:52.141,3,9.035,1:52.024,2,9.180,1:51.897,1,8.621,1:51.410,4,8.923,1:52.086
5,9.113,2:01.253,1,8.915,2:00.939,3,9.118,2:01.015,2,9.553,2:00.963,4,9.062,2:01.148
4,9.531,2:10.784,2,9.298,2:10.236,5,9.791,2:10.805,1,9.264,2:10.226,3,9.164,2:10.312
5,9.693,2:20.477,2,9.440,2:19.676,4,9.622,2:20.427,1,9.281,2:19.507,3,9.433,2:19.745
4,10.08,2:30.552,3,9.89,2:29.557,5,10.45,2:30.871,2,9.77,2:29.277,1,9.39,2:29.126
