Nicola RODIGARI POSITION,Nicola RODIGARI LAP TIME,Nicola RODIGARI ELAPSED TIME,LEE Seung-Jae POSITION,LEE Seung-Jae LAP TIME,LEE Seung-Jae ELAPSED TIME,Laszlo VRENCEAN POSITION,Laszlo VRENCEAN LAP TIME,Laszlo VRENCEAN ELAPSED TIME,Jonathan GUILMETTE POSITION,Jonathan GUILMETTE LAP TIME,Jonathan GUILMETTE ELAPSED TIME,Haralds SILOVS POSITION,Haralds SILOVS LAP TIME,Haralds SILOVS ELAPSED TIME,Sascha LAUBER POSITION,Sascha LAUBER LAP TIME,Sascha LAUBER ELAPSED TIME
4,9.654,9.654,3,9.436,9.436,6,9.815,9.815,2,9.426,9.426,1,9.391,9.391,5,9.777,9.777
3,12.682,22.336,2,12.846,22.282,6,13.084,22.899,1,12.593,22.019,5,13.216,22.606,4,12.720,22.496
3,12.050,34.385,2,12.068,34.349,6,11.903,34.801,1,12.071,34.090,5,12.023,34.629,4,11.958,34.454
3,11.957,46.342,2,11.877,46.226,6,12.073,46.874,1,12.008,46.097,5,12.014,46.642,4,12.109,46.562
3,11.327,57.669,1,11.352,57.577,6,11.385,58.259,2,11.505,57.601,5,11.387,58.029,4,11.290,57.852
3,11.006,1:08.675,1,10.810,1:08.387,6,10.893,1:09.151,2,10.892,1:08.493,4,10.820,1:08.849,5,11.014,1:08.866
3,10.553,1:19.227,1,10.628,1:19.014,6,10.500,1:19.651,2,10.606,1:19.098,5,10.558,1:19.406,4,10.441,1:19.306
3,10.183,1:29.410,2,10.338,1:29.352,6,10.373,1:30.024,1,10.199,1:29.297,5,10.301,1:29.707,4,10.307,1:29.613
3,9.672,1:39.082,1,9.494,1:38.846,6,9.807,1:39.830,2,9.672,1:38.968,5,9.613,1:39.319,4,9.587,1:39.200
3,9.508,1:48.589,1,9.522,1:48.367,6,10.158,1:49.987,2,9.420,1:48.388,5,9.476,1:48.795,4,9.494,1:48.693
3,9.677,1:58.266,1,9.652,1:58.019,6,10.462,2:00.449,2,9.711,1:58.099,5,9.661,1:58.456,4,9.717,1:58.410
3,9.604,2:07.869,1,9.574,2:07.593,6,11.158,2:11.606,2,9.519,2:07.618,5,9.747,2:08.203,4,9.651,2:08.061
3,9.297,2:17.165,1,9.291,2:16.884,6,11.454,2:23.060,2,9.452,2:17.069,5,9.945,2:18.147,4,10.078,2:18.138
3,9.32,2:26.484,2,9.50,2:26.385,6,12.33,2:35.381,1,9.31,2:26.371,5,11.32,2:29.465,4,10.62,2:28.756
