Csaba BURJAN POSITION,Csaba BURJAN LAP TIME,Csaba BURJAN ELAPSED TIME,WANG Xingchun POSITION,WANG Xingchun LAP TIME,WANG Xingchun ELAPSED TIME,CONFORTOLA Yuri POSITION,CONFORTOLA Yuri LAP TIME,CONFORTOLA Yuri ELAPSED TIME,Edin BRANKOVIC POSITION,Edin BRANKOVIC LAP TIME,Edin BRANKOVIC ELAPSED TIME,Guillaume BASTILLE POSITION,Guillaume BASTILLE LAP TIME,Guillaume BASTILLE ELAPSED TIME,Christiaan BOKKERINK POSITION,Christiaan BOKKERINK LAP TIME,Christiaan BOKKERINK ELAPSED TIME
2,8.87,8.87,5,9.41,9.41,3,9.07,9.07,1,8.76,8.76,4,9.25,9.25,6,9.56,9.56
2,11.18,20.05,5,11.11,20.52,3,11.13,20.20,1,11.03,19.79,4,11.09,20.34,6,11.11,20.67
2,10.16,30.21,5,10.14,30.66,3,10.19,30.39,1,10.28,30.07,4,10.17,30.51,6,10.11,30.78
2,10.04,40.25,6,9.90,40.56,3,9.99,40.38,1,10.06,40.13,4,9.96,40.47,5,9.75,40.53
2,9.79,50.04,6,9.87,50.43,3,9.80,50.18,1,9.82,49.95,4,9.80,50.27,5,9.82,50.35
2,9.71,59.75,6,9.68,1:00.11,3,9.65,59.83,1,9.71,59.66,4,9.65,59.92,5,9.64,59.99
4,9.44,1:09.19,6,9.29,1:09.40,1,9.17,1:09.00,2,9.47,1:09.13,3,9.26,1:09.18,5,9.29,1:09.28
6,9.62,1:18.81,4,9.24,1:18.64,1,9.43,1:18.43,5,9.55,1:18.68,2,9.32,1:18.50,3,9.26,1:18.54
5,9.48,1:28.29,4,9.54,1:28.18,1,9.47,1:27.90,6,10.11,1:28.79,2,9.49,1:27.99,3,9.53,1:28.07
5,9.59,1:37.88,2,9.43,1:37.61,1,9.63,1:37.53,6,10.22,1:39.01,3,9.62,1:37.61,4,9.60,1:37.67
5,9.46,1:47.34,2,9.32,1:46.93,1,9.32,1:46.85,6,10.65,1:49.66,3,9.42,1:47.03,4,9.43,1:47.10
5,9.60,1:56.94,2,9.31,1:56.24,1,9.34,1:56.19,6,11.43,2:01.09,3,9.28,1:56.31,4,9.29,1:56.39
5,10.01,2:06.95,2,9.33,2:05.57,1,9.27,2:05.46,6,11.48,2:12.57,3,9.32,2:05.63,4,9.31,2:05.70
2,10.38,2:17.325,5,1:21.05,3:26.619,1,9.57,2:15.030,3,11.99,2:24.556,4,24.16,2:29.789,0,,PEN
