Sean McANUFF POSITION,Sean McANUFF LAP TIME,Sean McANUFF ELAPSED TIME,TRAN Aaron POSITION,TRAN Aaron LAP TIME,TRAN Aaron ELAPSED TIME,LEE June Seo POSITION,LEE June Seo LAP TIME,LEE June Seo ELAPSED TIME,Nurbergen ZHUMAGAZIYEV POSITION,Nurbergen ZHUMAGAZIYEV LAP TIME,Nurbergen ZHUMAGAZIYEV ELAPSED TIME
1,13.73,13.73,3,14.02,14.02,2,13.89,13.89,4,14.13,14.13
1,10.39,24.12,3,10.23,24.25,2,10.31,24.20,4,10.27,24.40
4,9.71,33.83,1,9.43,33.68,2,9.56,33.76,3,9.42,33.82
4,9.66,43.49,1,9.48,43.16,2,9.53,43.29,3,9.54,43.36
4,9.44,52.93,1,9.33,52.49,2,9.38,52.67,3,9.45,52.81
4,9.45,1:02.38,1,9.35,1:01.84,2,9.21,1:01.88,3,9.19,1:02.00
4,9.50,1:11.88,2,9.23,1:11.07,1,8.94,1:10.82,3,9.17,1:11.17
4,9.82,1:21.70,2,9.14,1:20.21,1,8.87,1:19.69,3,9.09,1:20.26
4,10.26,1:31.96,2,9.56,1:29.77,1,8.96,1:28.65,3,9.67,1:29.93
