SHI Jingnan POSITION,SHI Jingnan LAP TIME,SHI Jingnan ELAPSED TIME,Vladimir GRIGOREV POSITION,Vladimir GRIGOREV LAP TIME,Vladimir GRIGOREV ELAPSED TIME,Viktor KNOCH POSITION,Viktor KNOCH LAP TIME,Viktor KNOCH ELAPSED TIME,DOTTI Tommaso POSITION,DOTTI Tommaso LAP TIME,DOTTI Tommaso ELAPSED TIME
1,6.88,6.88,2,7.03,7.03,3,7.15,7.15,4,7.42,7.42
1,8.93,15.81,2,8.89,15.92,3,8.86,16.01,4,9.10,16.52
1,8.48,24.29,2,8.49,24.41,3,8.53,24.54,4,8.77,25.29
1,8.52,32.81,2,8.56,32.97,3,8.54,33.08,4,9.01,34.30
4,30.66,1:03.47,1,8.87,41.84,2,8.91,41.99,3,9.43,43.73
