GREAT BRITAIN POSITION,GREAT BRITAIN LAP TIME,GREAT BRITAIN ELAPSED TIME,JAPAN POSITION,JAPAN LAP TIME,JAPAN ELAPSED TIME,CHINA POSITION,CHINA LAP TIME,CHINA ELAPSED TIME
1,12.48,12.48,3,12.72,12.72,2,12.58,12.58
2,9.33,21.81,3,9.29,22.01,1,9.20,21.78
2,9.30,31.11,3,9.25,31.26,1,9.18,30.96
2,9.05,40.16,3,9.01,40.27,1,9.12,40.08
2,9.15,49.31,3,9.13,49.40,1,9.14,49.22
2,8.90,58.21,3,8.98,58.38,1,8.85,58.07
2,8.53,1:06.74,3,8.56,1:06.94,1,8.55,1:06.62
2,8.74,1:15.48,3,8.86,1:15.80,1,8.72,1:15.34
2,8.55,1:24.03,3,8.75,1:24.55,1,8.56,1:23.90
2,8.61,1:32.64,3,9.01,1:33.56,1,8.60,1:32.50
2,8.97,1:41.61,3,9.34,1:42.90,1,8.98,1:41.48
2,9.10,1:50.71,3,9.39,1:52.29,1,9.10,1:50.58
2,9.26,1:59.97,3,9.18,2:01.47,1,9.32,1:59.90
2,9.41,2:09.38,3,9.38,2:10.85,1,9.44,2:09.34
2,9.28,2:18.66,3,9.02,2:19.87,1,9.06,2:18.40
2,8.87,2:27.53,3,8.76,2:28.63,1,8.82,2:27.22
2,8.94,2:36.47,3,8.96,2:37.59,1,8.78,2:36.00
2,8.84,2:45.31,3,8.88,2:46.47,1,8.71,2:44.71
