FRANCE POSITION,FRANCE LAP TIME,FRANCE ELAPSED TIME,POLAND POSITION,POLAND LAP TIME,POLAND ELAPSED TIME,HUNGARY POSITION,HUNGARY LAP TIME,HUNGARY ELAPSED TIME
2,12.56,12.56,3,,,1,12.44,12.44
3,9.10,21.66,1,12:06.78,21.45,2,9.10,21.54
3,9.18,30.84,1,9.10,30.55,2,9.12,30.66
3,9.09,39.93,1,9.20,39.75,2,9.18,39.84
3,9.17,49.10,1,9.18,48.93,2,9.15,48.99
3,8.93,58.03,1,8.82,57.75,2,8.90,57.89
2,8.51,1:06.54,1,8.74,1:06.49,3,8.66,1:06.55
1,8.71,1:15.25,3,9.04,1:15.53,2,8.89,1:15.44
1,8.62,1:23.87,3,8.59,1:24.12,2,8.58,1:24.02
1,8.60,1:32.47,3,8.64,1:32.76,2,8.66,1:32.68
2,9.24,1:41.71,3,9.01,1:41.77,1,8.96,1:41.64
3,9.53,1:51.24,2,9.33,1:51.10,1,9.36,1:51.00
3,9.27,2:00.51,2,9.35,2:00.45,1,9.23,2:00.23
3,9.33,2:09.84,2,9.36,2:09.81,1,9.19,2:09.42
2,8.96,2:18.80,3,9.00,2:18.81,1,9.04,2:18.46
1,8.51,2:27.31,3,8.91,2:27.72,2,8.89,2:27.35
1,8.62,2:35.93,3,8.70,2:36.42,2,8.90,2:36.25
1,8.68,2:44.61,3,8.65,2:45.07,2,8.73,2:44.98
