Claudio RINALDI POSITION,Claudio RINALDI LAP TIME,Claudio RINALDI ELAPSED TIME,Nurbergen ZHUMAGAZIYEV POSITION,Nurbergen ZHUMAGAZIYEV LAP TIME,Nurbergen ZHUMAGAZIYEV ELAPSED TIME,Evgenii KOZULIN POSITION,Evgenii KOZULIN LAP TIME,Evgenii KOZULIN ELAPSED TIME,Satoshi SAKASHITA POSITION,Satoshi SAKASHITA LAP TIME,Satoshi SAKASHITA ELAPSED TIME
0,,,0,,,0,,,0,,
0,,,0,,,0,,,0,,
0,,,0,,,0,,,0,,
0,,,0,,,0,,,0,,
4,7.370,7.370,2,6.890,6.890,1,6.860,6.860,3,7.190,7.190
4,9.760,17.130,3,9.750,16.640,2,9.620,16.490,1,8.570,15.770
3,8.340,25.480,2,8.570,25.210,4,9.000,25.500,1,8.750,24.530
3,9.570,35.050,4,10.140,35.360,2,9.470,34.970,1,8.990,33.520
3,9.740,44.800,4,13.780,49.140,2,9.370,44.340,1,9.920,43.440
