Pierre BODA POSITION,Pierre BODA LAP TIME,Pierre BODA ELAPSED TIME,Jeremy MASSON POSITION,Jeremy MASSON LAP TIME,Jeremy MASSON ELAPSED TIME,Robert SEIFERT POSITION,Robert SEIFERT LAP TIME,Robert SEIFERT ELAPSED TIME,Lucas NG POSITION,Lucas NG LAP TIME,Lucas NG ELAPSED TIME
1,13.31,13.31,2,13.41,13.41,3,13.51,13.51,4,13.67,13.67
1,10.69,24.00,2,10.73,24.14,3,10.77,24.28,4,10.76,24.43
1,10.35,34.35,2,10.30,34.44,3,10.28,34.56,4,10.29,34.72
3,10.03,44.38,1,9.87,44.31,2,9.82,44.38,4,9.96,44.68
3,9.60,53.98,1,9.42,53.73,2,9.46,53.84,4,9.95,54.63
3,9.24,1:03.22,1,9.23,1:02.96,2,9.25,1:03.09,4,10.39,1:05.02
3,9.17,1:12.39,1,9.20,1:12.16,2,9.11,1:12.20,4,11.10,1:16.12
2,9.36,1:21.75,3,9.91,1:22.07,1,9.46,1:21.66,4,11.48,1:27.60
0,,PEN,2,9.84,1:31.903,1,9.74,1:31.396,3,11.58,1:39.177
