TIKHONOVA Olga POSITION,TIKHONOVA Olga LAP TIME,TIKHONOVA Olga ELAPSED TIME,JACOBS Gina POSITION,JACOBS Gina LAP TIME,JACOBS Gina ELAPSED TIME,Sandra TRUSOVA POSITION,Sandra TRUSOVA LAP TIME,Sandra TRUSOVA ELAPSED TIME,Melanie BRANTNER POSITION,Melanie BRANTNER LAP TIME,Melanie BRANTNER ELAPSED TIME,Julia ALBERT POSITION,Julia ALBERT LAP TIME,Julia ALBERT ELAPSED TIME
2,15.78,15.78,3,15.79,15.79,4,15.96,15.96,5,16.14,16.14,1,15.70,15.70
3,12.05,27.83,1,11.92,27.71,4,11.95,27.91,5,11.94,28.08,2,12.02,27.72
2,10.40,38.23,1,10.24,37.95,4,10.62,38.53,5,10.62,38.70,3,10.63,38.35
2,10.13,48.36,1,10.31,48.26,4,10.26,48.79,5,10.26,48.96,3,10.10,48.45
2,10.60,58.96,1,10.60,58.86,4,10.48,59.27,5,10.47,59.43,3,10.66,59.11
2,10.16,1:09.12,1,10.08,1:08.94,4,10.34,1:09.61,5,10.65,1:10.08,3,10.19,1:09.30
2,10.15,1:19.27,1,9.97,1:18.91,4,10.65,1:20.26,5,10.72,1:20.80,3,10.62,1:19.92
2,10.49,1:29.76,1,10.11,1:29.02,4,10.92,1:31.18,5,10.89,1:31.69,3,11.03,1:30.95
2,11.31,1:41.044,1,10.50,1:39.502,4,11.08,1:42.243,5,10.88,1:42.544,3,11.20,1:42.137
