Lachlan HAY POSITION,Lachlan HAY LAP TIME,Lachlan HAY ELAPSED TIME,Nicola RODIGARI POSITION,Nicola RODIGARI LAP TIME,Nicola RODIGARI ELAPSED TIME,LEE Ho-Suk POSITION,LEE Ho-Suk LAP TIME,LEE Ho-Suk ELAPSED TIME,Satoru TERAO POSITION,Satoru TERAO LAP TIME,Satoru TERAO ELAPSED TIME
3,12.930,12.930,2,12.920,12.920,4,17.520,17.520,1,12.850,12.850
4,10.290,23.230,2,9.890,22.810,3,5.300,22.820,1,9.900,22.750
3,9.790,33.020,1,10.010,32.820,4,10.470,33.290,2,10.220,32.980
3,9.690,42.720,2,9.740,42.560,4,9.760,43.060,1,9.450,42.430
4,9.220,51.940,2,8.940,51.510,1,8.330,51.390,3,9.200,51.640
3,9.140,1:01.080,1,9.120,1:00.630,4,9.940,1:01.340,2,9.060,1:00.700
2,9.180,1:10.270,1,9.090,1:09.730,3,9.030,1:10.370,4,10.820,1:11.530
2,9.250,1:19.520,3,9.840,1:19.580,4,9.220,1:19.600,1,7.870,1:19.400
3,9.410,1:28.940,1,8.800,1:28.390,4,9.590,1:29.200,2,9.390,1:28.800
