SHIM Suk Hee POSITION,SHIM Suk Hee LAP TIME,SHIM Suk Hee ELAPSED TIME,Arianna FONTANA POSITION,Arianna FONTANA LAP TIME,Arianna FONTANA ELAPSED TIME,WANG Meng POSITION,WANG Meng LAP TIME,WANG Meng ELAPSED TIME,KIM Alang POSITION,KIM Alang LAP TIME,KIM Alang ELAPSED TIME
2,13.16,13.16,3,13.17,13.17,1,13.00,13.00,4,13.32,13.32
1,9.15,22.31,3,9.34,22.51,2,9.43,22.43,4,9.36,22.68
2,9.54,31.85,3,9.42,31.93,1,9.31,31.74,4,9.35,32.03
2,9.94,41.79,4,10.02,41.95,1,9.97,41.71,3,9.78,41.81
3,10.13,51.92,4,10.07,52.02,1,10.00,51.71,2,9.98,51.79
3,10.08,1:02.00,4,10.20,1:02.22,2,10.20,1:01.91,1,10.08,1:01.87
3,9.66,1:11.66,4,9.53,1:11.75,2,9.67,1:11.58,1,9.51,1:11.38
2,9.36,1:21.02,4,9.44,1:21.19,3,9.56,1:21.14,1,9.55,1:20.93
2,9.45,1:30.461,3,9.45,1:30.632,4,10.40,1:31.534,1,9.51,1:30.437
