DESMET Hanne POSITION,DESMET Hanne LAP TIME,DESMET Hanne ELAPSED TIME,Lucia PERETTI POSITION,Lucia PERETTI LAP TIME,Lucia PERETTI ELAPSED TIME,HUOT MARCHAND Tifany POSITION,HUOT MARCHAND Tifany LAP TIME,HUOT MARCHAND Tifany ELAPSED TIME,CHRISTIE Elise POSITION,CHRISTIE Elise LAP TIME,CHRISTIE Elise ELAPSED TIME,Liudmila TSARYKAVA POSITION,Liudmila TSARYKAVA LAP TIME,Liudmila TSARYKAVA ELAPSED TIME
1,15.21,15.21,3,15.44,15.44,5,15.57,15.57,2,15.35,15.35,4,15.47,15.47
2,11.76,26.97,4,11.61,27.05,5,11.69,27.26,1,11.53,26.88,3,11.52,26.99
4,10.48,37.45,1,9.97,37.02,2,10.00,37.26,3,10.39,37.27,5,10.72,37.71
4,9.81,47.26,1,9.85,46.87,3,9.89,47.15,2,9.75,47.02,5,9.99,47.70
4,10.21,57.47,1,10.22,57.09,3,10.20,57.35,2,10.23,57.25,5,9.97,57.67
4,10.38,1:07.85,1,10.41,1:07.50,3,10.36,1:07.71,2,10.36,1:07.61,5,10.32,1:07.99
4,9.77,1:17.62,2,9.88,1:17.38,3,9.76,1:17.47,1,9.58,1:17.19,5,10.57,1:18.56
4,9.83,1:27.45,3,9.98,1:27.36,2,9.70,1:27.17,1,9.58,1:26.77,5,11.08,1:29.64
4,10.13,1:37.577,3,10.15,1:37.510,2,10.01,1:37.171,1,9.84,1:36.608,5,11.50,1:41.135
