Kimberly GOETZ POSITION,Kimberly GOETZ LAP TIME,Kimberly GOETZ ELAPSED TIME,SHIM Suk Hee POSITION,SHIM Suk Hee LAP TIME,SHIM Suk Hee ELAPSED TIME,ZAKHAROVA Evgeniya POSITION,ZAKHAROVA Evgeniya LAP TIME,ZAKHAROVA Evgeniya ELAPSED TIME,Kasandra BRADETTE POSITION,Kasandra BRADETTE LAP TIME,Kasandra BRADETTE ELAPSED TIME,Raya ZAHARIEVA POSITION,Raya ZAHARIEVA LAP TIME,Raya ZAHARIEVA ELAPSED TIME,Lucia PERETTI POSITION,Lucia PERETTI LAP TIME,Lucia PERETTI ELAPSED TIME
1,9.94,9.94,6,10.60,10.60,2,10.07,10.07,4,10.21,10.21,5,10.42,10.42,3,10.21,10.21
1,14.27,24.21,6,14.36,24.96,2,14.23,24.30,3,14.28,24.49,5,14.33,24.75,4,14.44,24.65
1,13.51,37.72,6,13.51,38.47,2,13.54,37.84,3,13.46,37.95,5,13.51,38.26,4,13.41,38.06
1,13.09,50.81,6,13.01,51.48,2,13.15,50.99,3,13.18,51.13,5,13.09,51.35,4,13.18,51.24
2,12.82,1:03.63,5,12.40,1:03.88,1,12.62,1:03.61,4,12.68,1:03.81,6,12.59,1:03.94,3,12.53,1:03.77
2,11.39,1:15.02,1,11.06,1:14.94,3,11.49,1:15.10,5,11.50,1:15.31,6,11.50,1:15.44,4,11.43,1:15.20
3,11.91,1:26.93,1,11.86,1:26.80,2,11.80,1:26.90,5,11.88,1:27.19,6,11.88,1:27.32,4,11.87,1:27.07
4,11.62,1:38.55,1,11.44,1:38.24,2,11.43,1:38.33,5,11.48,1:38.67,6,11.45,1:38.77,3,11.38,1:38.45
4,11.08,1:49.63,1,11.13,1:49.37,2,11.13,1:49.46,5,11.06,1:49.73,6,11.15,1:49.92,3,11.09,1:49.54
4,10.16,1:59.79,3,10.34,1:59.71,2,10.14,1:59.60,5,10.12,1:59.85,6,10.12,2:00.04,1,9.97,1:59.51
5,9.84,2:09.63,3,9.63,2:09.34,1,9.52,2:09.12,4,9.61,2:09.46,6,9.80,2:09.84,2,9.77,2:09.28
5,9.48,2:19.11,2,9.33,2:18.67,1,9.47,2:18.59,3,9.35,2:18.81,6,9.88,2:19.72,4,9.56,2:18.84
5,9.56,2:28.67,2,9.58,2:28.25,1,9.60,2:28.19,3,9.57,2:28.38,6,10.18,2:29.90,4,9.73,2:28.57
5,9.93,2:38.595,1,9.65,2:37.899,2,9.85,2:38.033,3,9.75,2:38.128,6,10.60,2:40.492,4,9.93,2:38.496
