PARK Se Yeong POSITION,PARK Se Yeong LAP TIME,PARK Se Yeong ELAPSED TIME,SHI Jingnan POSITION,SHI Jingnan LAP TIME,SHI Jingnan ELAPSED TIME,Viktor KNOCH POSITION,Viktor KNOCH LAP TIME,Viktor KNOCH ELAPSED TIME,Victor AN POSITION,Victor AN LAP TIME,Victor AN ELAPSED TIME
1,6.75,6.75,2,6.89,6.89,3,6.94,6.94,4,7.07,7.07
1,8.99,15.74,2,8.96,15.85,4,9.13,16.07,3,8.86,15.93
2,8.61,24.35,1,8.50,24.35,4,8.46,24.53,3,8.54,24.47
2,8.77,33.12,1,8.61,32.96,3,8.72,33.25,4,11.23,35.70
3,9.48,42.592,1,8.71,41.662,2,8.96,42.201,0,,notime
