Daniel ZASTRUGOV POSITION,Daniel ZASTRUGOV LAP TIME,Daniel ZASTRUGOV ELAPSED TIME,Victor AN POSITION,Victor AN LAP TIME,Victor AN ELAPSED TIME,Joshua CHEETHAM POSITION,Joshua CHEETHAM LAP TIME,Joshua CHEETHAM ELAPSED TIME,Chris CREVELING POSITION,Chris CREVELING LAP TIME,Chris CREVELING ELAPSED TIME,Emil IMRE POSITION,Emil IMRE LAP TIME,Emil IMRE ELAPSED TIME
2,12.35,12.35,4,12.66,12.66,3,12.51,12.51,5,12.67,12.67,1,12.23,12.23
2,13.48,25.83,4,13.49,26.15,3,13.51,26.02,5,13.68,26.35,1,13.38,25.61
2,12.69,38.52,4,12.66,38.81,3,12.69,38.71,5,12.58,38.93,1,12.76,38.37
2,13.28,51.80,4,13.22,52.03,3,13.24,51.95,5,13.26,52.19,1,13.26,51.63
2,13.78,1:05.58,4,13.87,1:05.90,3,13.83,1:05.78,5,13.85,1:06.04,1,13.79,1:05.42
1,13.38,1:18.96,4,13.43,1:19.33,3,13.41,1:19.19,5,13.54,1:19.58,2,13.58,1:19.00
2,12.44,1:31.40,4,12.28,1:31.61,1,12.17,1:31.36,5,12.25,1:31.83,3,12.52,1:31.52
3,11.28,1:42.68,1,10.72,1:42.33,2,11.12,1:42.48,5,10.97,1:42.80,4,11.22,1:42.74
5,10.10,1:52.78,1,10.04,1:52.37,2,10.02,1:52.50,4,9.88,1:52.68,3,9.85,1:52.59
5,9.73,2:02.51,1,9.64,2:02.01,2,9.62,2:02.12,4,9.54,2:02.22,3,9.63,2:02.22
5,9.30,2:11.81,1,9.15,2:11.16,3,9.36,2:11.48,2,9.07,2:11.29,4,9.36,2:11.58
5,9.79,2:21.60,1,8.89,2:20.05,3,9.15,2:20.63,2,8.92,2:20.21,4,9.28,2:20.86
5,10.10,2:31.70,1,8.87,2:28.92,3,9.36,2:29.99,2,8.90,2:29.11,4,9.60,2:30.46
5,10.77,2:42.469,1,9.10,2:38.016,3,9.73,2:39.717,2,8.94,2:38.051,4,9.96,2:40.414
