SIN da Woon POSITION,SIN da Woon LAP TIME,SIN da Woon ELAPSED TIME,Vojtech LOUDIN POSITION,Vojtech LOUDIN LAP TIME,Vojtech LOUDIN ELAPSED TIME,LUI Pan To Barton POSITION,LUI Pan To Barton LAP TIME,LUI Pan To Barton ELAPSED TIME,Charle COURNOYER POSITION,Charle COURNOYER LAP TIME,Charle COURNOYER ELAPSED TIME
3,7.43,7.43,2,7.22,7.22,4,7.53,7.53,1,7.04,7.04
3,9.12,16.55,2,9.21,16.43,4,9.23,16.76,1,8.96,16.00
2,8.52,25.07,3,8.74,25.17,4,8.59,25.35,1,8.60,24.60
2,8.66,33.73,4,8.89,34.06,3,8.68,34.03,1,8.62,33.22
2,8.80,42.526,4,9.75,43.805,3,9.00,43.022,1,8.82,42.038
