Charle COURNOYER POSITION,Charle COURNOYER LAP TIME,Charle COURNOYER ELAPSED TIME,Jens ALMEY POSITION,Jens ALMEY LAP TIME,Jens ALMEY ELAPSED TIME,BLACKBURN Mackenzie POSITION,BLACKBURN Mackenzie LAP TIME,BLACKBURN Mackenzie ELAPSED TIME,Bejamin WHITESIDE POSITION,Bejamin WHITESIDE LAP TIME,Bejamin WHITESIDE ELAPSED TIME,GEORGIEV Dimitar POSITION,GEORGIEV Dimitar LAP TIME,GEORGIEV Dimitar ELAPSED TIME,NIKISHA Denis POSITION,NIKISHA Denis LAP TIME,NIKISHA Denis ELAPSED TIME
3,10.43,10.43,1,10.08,10.08,4,10.56,10.56,5,10.80,10.80,2,10.27,10.27,6,10.98,10.98
3,14.46,24.89,1,14.46,24.54,4,14.45,25.01,5,14.38,25.18,2,14.43,24.70,6,14.36,25.34
4,13.51,38.40,1,13.46,38.00,5,13.55,38.56,6,13.56,38.74,2,13.40,38.10,3,13.03,38.37
4,11.08,49.48,2,11.17,49.17,5,11.04,49.60,6,11.01,49.75,3,11.16,49.26,1,10.64,49.01
1,10.22,59.70,2,10.56,59.73,5,10.29,59.89,6,10.37,1:00.12,4,10.61,59.87,3,10.77,59.78
1,10.01,1:09.71,2,10.07,1:09.80,4,10.12,1:10.01,6,10.05,1:10.17,5,10.28,1:10.15,3,10.13,1:09.91
1,9.70,1:19.41,1,9.61,1:19.41,5,9.80,1:19.81,6,9.92,1:20.09,4,9.51,1:19.66,3,9.62,1:19.53
3,9.44,1:28.85,1,9.30,1:28.71,5,9.31,1:29.12,6,9.63,1:29.72,4,9.37,1:29.03,2,9.26,1:28.79
3,9.39,1:38.24,1,9.32,1:38.03,5,9.32,1:38.44,6,9.66,1:39.38,4,9.37,1:38.40,2,9.36,1:38.15
2,9.27,1:47.51,1,9.39,1:47.42,5,9.51,1:47.95,6,9.92,1:49.30,4,9.41,1:47.81,3,9.45,1:47.60
1,9.07,1:56.58,2,9.25,1:56.67,4,9.33,1:57.28,6,10.35,1:59.65,5,9.90,1:57.71,3,9.14,1:56.74
1,9.18,2:05.76,2,9.36,2:06.03,4,9.15,2:06.43,6,10.97,2:10.62,5,10.38,2:08.09,3,9.45,2:06.19
1,9.28,2:15.04,2,9.41,2:15.44,4,9.20,2:15.63,6,11.17,2:21.79,5,11.07,2:19.16,3,9.28,2:15.47
1,9.42,2:24.46,2,9.61,2:25.05,4,9.83,2:25.445,6,11.76,2:33.522,5,11.38,2:30.506,3,9.91,2:25.38
