NIKISHA Denis POSITION,NIKISHA Denis LAP TIME,NIKISHA Denis ELAPSED TIME,ANDERMANN Dominic POSITION,ANDERMANN Dominic LAP TIME,ANDERMANN Dominic ELAPSED TIME,Viktor KNOCH POSITION,Viktor KNOCH LAP TIME,Viktor KNOCH ELAPSED TIME,Jacob JANSSON POSITION,Jacob JANSSON LAP TIME,Jacob JANSSON ELAPSED TIME
3,13.01,13.01,4,13.12,13.12,2,12.64,12.64,1,12.49,12.49
3,9.21,22.22,4,9.20,22.32,2,9.42,22.06,1,9.40,21.89
3,9.16,31.38,4,9.27,31.59,2,9.21,31.27,1,9.22,31.11
3,9.32,40.70,4,9.23,40.82,2,9.32,40.59,1,9.37,40.48
3,9.49,50.19,4,9.52,50.34,1,9.45,50.04,2,9.60,50.08
2,9.37,59.56,4,9.66,1:00.00,1,9.40,59.44,3,9.70,59.78
2,9.47,1:09.03,4,9.67,1:09.67,1,9.50,1:08.94,3,9.79,1:09.57
1,9.11,1:18.14,4,9.94,1:19.61,2,9.41,1:18.35,3,9.94,1:19.51
1,9.31,1:27.45,4,10.39,1:30.00,2,9.28,1:27.63,3,10.42,1:29.93
