ZHANG Yuting POSITION,ZHANG Yuting LAP TIME,ZHANG Yuting ELAPSED TIME,PIERRON Veronique POSITION,PIERRON Veronique LAP TIME,PIERRON Veronique ELAPSED TIME,BACSKAI Sara Luca POSITION,BACSKAI Sara Luca LAP TIME,BACSKAI Sara Luca ELAPSED TIME,TOPOLSKA Gabriela POSITION,TOPOLSKA Gabriela LAP TIME,TOPOLSKA Gabriela ELAPSED TIME,SEJPALOVA-HRUZOVA Michaela POSITION,SEJPALOVA-HRUZOVA Michaela LAP TIME,SEJPALOVA-HRUZOVA Michaela ELAPSED TIME
1,15.46,15.46,2,15.53,15.53,4,15.76,,3,15.58,15.58,5,15.89,15.89
4,11.64,27.10,2,11.30,26.83,5,11.47,,3,11.36,26.94,1,10.91,26.80
4,10.69,37.79,5,11.07,37.90,3,10.55,,2,10.81,37.75,1,10.86,37.66
1,10.04,47.83,4,10.23,48.13,3,10.19,,5,10.67,48.42,2,10.28,47.94
1,9.96,57.79,3,9.86,57.99,2,9.92,,3,9.57,57.99,5,10.31,58.25
1,9.97,1:07.76,3,9.96,1:07.95,2,9.97,,4,10.08,1:08.07,5,9.98,1:08.23
1,9.96,1:17.72,5,10.55,1:18.50,2,9.97,,3,9.93,1:18.00,4,10.00,1:18.23
1,9.93,1:27.65,5,10.19,1:28.69,2,9.91,,3,9.90,1:27.90,4,9.93,1:28.16
1,9.67,1:37.32,4,11.53,1:40.220,2,9.69,,3,9.76,1:37.66,3,10.10,1:38.262
