Dennis WALZER POSITION,Dennis WALZER LAP TIME,Dennis WALZER ELAPSED TIME,SAULITIS Jekabs POSITION,SAULITIS Jekabs LAP TIME,SAULITIS Jekabs ELAPSED TIME,BLACKBURN Mackenzie POSITION,BLACKBURN Mackenzie LAP TIME,BLACKBURN Mackenzie ELAPSED TIME,Grant HESTER POSITION,Grant HESTER LAP TIME,Grant HESTER ELAPSED TIME,Davide VISCARDI POSITION,Davide VISCARDI LAP TIME,Davide VISCARDI ELAPSED TIME,Maxime CHATAIGNIER POSITION,Maxime CHATAIGNIER LAP TIME,Maxime CHATAIGNIER ELAPSED TIME
4,9.742,9.742,3,9.687,9.687,2,9.559,9.559,5,9.971,9.971,6,10.223,10.223,1,9.444,9.444
3,13.334,23.076,5,13.492,23.179,2,13.483,23.042,4,13.130,23.101,6,13.300,23.522,1,13.452,22.896
4,12.315,35.391,1,11.740,34.919,3,12.119,35.161,5,12.406,35.507,6,12.171,35.694,2,12.078,34.974
3,10.847,46.238,1,10.825,45.744,6,11.232,46.392,4,10.766,46.273,5,10.683,46.377,2,11.044,46.018
3,10.644,56.882,1,10.716,56.460,6,10.691,57.083,5,10.742,57.015,4,10.534,56.910,2,10.772,56.790
4,10.824,1:07.706,2,10.804,1:07.264,6,10.826,1:07.909,5,10.873,1:07.888,1,10.343,1:07.253,3,10.742,1:07.533
4,10.820,1:18.526,1,10.920,1:18.184,5,10.777,1:18.686,6,10.808,1:18.696,2,11.095,1:18.348,3,10.870,1:18.402
4,11.396,1:29.922,1,11.081,1:29.265,6,11.323,1:30.009,5,11.288,1:29.984,2,11.336,1:29.684,3,11.297,1:29.700
4,10.408,1:40.330,1,10.557,1:39.822,5,10.698,1:40.707,6,14.838,1:44.821,2,10.457,1:40.141,3,10.553,1:40.252
4,10.192,1:50.521,1,10.253,1:50.074,5,10.203,1:50.910,6,15.563,2:00.384,2,10.079,1:50.220,3,10.046,1:50.299
1,9.804,2:00.325,4,17.564,2:07.638,2,10.212,2:01.122,6,11.207,2:11.591,3,16.069,2:06.289,5,17.614,2:07.913
1,10.392,2:10.717,4,13.808,2:21.446,2,10.941,2:12.063,5,10.236,2:21.827,3,15.147,2:21.436,6,14.012,2:21.925
1,10.753,2:21.470,3,10.349,2:31.795,2,11.906,2:23.969,4,10.186,2:32.013,6,12.567,2:34.003,5,10.237,2:32.162
1,10.460,2:31.929,3,10.430,2:42.224,2,12.473,2:36.441,4,10.364,2:42.376,6,13.910,2:47.912,5,10.763,2:42.925
