Olga MASKAIKINA POSITION,Olga MASKAIKINA LAP TIME,Olga MASKAIKINA ELAPSED TIME,Anouk ZOUTENDIJK POSITION,Anouk ZOUTENDIJK LAP TIME,Anouk ZOUTENDIJK ELAPSED TIME,Bernadett HEIDUM POSITION,Bernadett HEIDUM LAP TIME,Bernadett HEIDUM ELAPSED TIME,Julia RIEDEL POSITION,Julia RIEDEL LAP TIME,Julia RIEDEL ELAPSED TIME
3,14.950,14.950,2,14.910,14.910,1,14.760,14.760,4,15.130,15.130
3,12.130,27.090,2,12.160,27.080,1,12.200,26.960,4,11.970,27.100
1,10.210,37.300,3,10.400,37.490,2,10.520,37.480,4,10.490,37.600
1,10.540,47.840,3,10.410,47.900,2,10.360,47.850,4,10.460,48.060
2,10.410,58.260,3,10.510,58.410,1,10.360,58.220,4,10.550,58.610
3,10.490,1:08.750,2,10.160,1:08.580,1,10.350,1:08.570,4,10.190,1:08.810
2,9.790,1:18.550,3,10.040,1:18.620,1,9.830,1:18.400,4,10.060,1:18.870
1,10.030,1:28.580,3,10.080,1:28.710,2,10.210,1:28.620,4,9.890,1:28.760
3,10.330,1:38.910,2,10.130,1:38.850,1,10.040,1:38.660,4,10.440,1:39.210
