Petra ACKER POSITION,Petra ACKER LAP TIME,Petra ACKER ELAPSED TIME,CHRISTIE Elise POSITION,CHRISTIE Elise LAP TIME,CHRISTIE Elise ELAPSED TIME,Izumi NISHII POSITION,Izumi NISHII LAP TIME,Izumi NISHII ELAPSED TIME,Sabrina BOURGELA POSITION,Sabrina BOURGELA LAP TIME,Sabrina BOURGELA ELAPSED TIME
4,14.72,14.72,2,14.61,14.61,3,14.62,14.62,1,14.49,14.49
1,10.93,25.65,4,11.23,25.84,2,11.12,25.74,3,11.25,25.74
3,10.97,36.62,4,10.98,36.82,2,10.79,36.53,1,10.75,36.49
3,10.37,46.99,4,10.36,47.18,2,10.38,46.91,1,10.38,46.87
4,10.53,57.52,3,10.28,57.46,2,10.24,57.15,1,10.24,57.11
4,10.45,1:07.97,3,10.09,1:07.55,1,10.14,1:07.29,2,10.19,1:07.30
4,10.46,1:18.43,3,10.17,1:17.72,2,10.31,1:17.60,1,10.25,1:17.55
4,10.68,1:29.11,2,10.11,1:27.83,3,10.55,1:28.15,1,10.21,1:27.76
4,11.05,1:40.151,1,10.37,1:38.195,3,11.25,1:39.393,2,10.62,1:38.374
