CHEN Dequan POSITION,CHEN Dequan LAP TIME,CHEN Dequan ELAPSED TIME,Jose CAVALLI POSITION,Jose CAVALLI LAP TIME,Jose CAVALLI ELAPSED TIME,Simon CHO POSITION,Simon CHO LAP TIME,Simon CHO ELAPSED TIME,Kiril PANDOV POSITION,Kiril PANDOV LAP TIME,Kiril PANDOV ELAPSED TIME
2,13.37,13.37,4,13.57,13.57,3,13.50,13.50,1,13.24,13.24
1,10.40,23.77,4,10.62,24.19,3,10.57,24.07,2,10.68,23.92
1,10.15,33.92,4,10.12,34.31,3,10.15,34.22,2,10.18,34.10
1,10.01,43.93,4,9.95,44.26,2,9.82,44.04,3,10.00,44.10
1,9.85,53.78,4,9.86,54.12,2,9.87,53.91,3,9.93,54.03
1,9.95,1:03.73,4,9.87,1:03.99,2,9.96,1:03.87,3,9.95,1:03.98
1,9.79,1:13.52,3,9.83,1:13.82,2,9.74,1:13.61,4,9.93,1:13.91
2,9.54,1:23.06,4,9.87,1:23.69,1,9.32,1:22.93,3,9.72,1:23.63
2,9.44,1:32.499,4,10.08,1:33.761,1,9.41,1:32.341,3,10.04,1:33.663
