HAMELIN Charles POSITION,HAMELIN Charles LAP TIME,HAMELIN Charles ELAPSED TIME,SEO Ho-Jin POSITION,SEO Ho-Jin LAP TIME,SEO Ho-Jin ELAPSED TIME,LI Jiajun POSITION,LI Jiajun LAP TIME,LI Jiajun ELAPSED TIME,Apolo Anton OHNO POSITION,Apolo Anton OHNO LAP TIME,Apolo Anton OHNO ELAPSED TIME
2,12.606,12.606,4,12.695,12.695,1,12.478,12.478,3,12.624,12.624
2,9.627,22.232,1,9.307,22.001,4,9.784,22.262,3,9.627,22.250
3,9.181,31.413,2,9.282,31.283,1,8.990,31.251,4,9.218,31.468
4,9.784,41.196,1,8.294,39.576,2,9.591,40.841,3,9.501,40.969
2,9.275,50.470,4,10.993,50.569,1,9.565,50.406,3,9.569,50.537
4,9.553,1:00.023,3,9.374,59.942,2,9.419,59.824,1,9.159,59.696
3,9.286,1:09.308,4,9.570,1:09.511,1,9.264,1:09.088,2,9.503,1:09.199
4,9.291,1:18.599,1,8.658,1:18.168,2,9.414,1:18.501,3,9.358,1:18.557
2,9.41,1:28.000,0,,DQ,1,9.42,1:27.916,0,,DQ
