WU Dajing POSITION,WU Dajing LAP TIME,WU Dajing ELAPSED TIME,Dmitry MIGUNOV POSITION,Dmitry MIGUNOV LAP TIME,Dmitry MIGUNOV ELAPSED TIME,Olivier JEAN POSITION,Olivier JEAN LAP TIME,Olivier JEAN ELAPSED TIME,Francois HAMELIN POSITION,Francois HAMELIN LAP TIME,Francois HAMELIN ELAPSED TIME
1,6.63,6.63,2,6.75,6.75,3,6.86,6.86,4,6.97,6.97
1,8.68,15.31,2,8.64,15.39,3,8.61,15.47,4,8.65,15.62
4,43.33,58.64,3,21.88,37.27,1,8.21,23.68,2,8.27,23.89
4,24.65,1:23.29,3,19.14,56.41,1,8.43,32.11,2,8.34,32.23
0,,PEN,3,12.73,1:09.136,1,8.50,40.605,2,8.47,40.698
