J.R. CELSKI POSITION,J.R. CELSKI LAP TIME,J.R. CELSKI ELAPSED TIME,VANHOOREN Rino POSITION,VANHOOREN Rino LAP TIME,VANHOOREN Rino ELAPSED TIME,JUNG Hyun Woo (Andy) POSITION,JUNG Hyun Woo (Andy) LAP TIME,JUNG Hyun Woo (Andy) ELAPSED TIME,BYKANOV Vladislav POSITION,BYKANOV Vladislav LAP TIME,BYKANOV Vladislav ELAPSED TIME
1,12.77,12.77,3,12.98,12.98,2,12.85,12.85,4,13.09,13.09
3,10.00,22.77,4,9.90,22.88,1,9.70,22.55,2,9.56,22.65
3,9.19,31.96,4,9.23,32.11,1,9.19,31.74,2,9.21,31.86
3,9.14,41.10,4,9.18,41.29,2,9.25,40.99,1,8.96,40.82
3,9.01,50.11,4,9.17,50.46,2,9.02,50.01,1,9.03,49.85
3,9.07,59.18,4,9.35,59.81,2,9.07,59.08,1,9.06,58.91
2,9.11,1:08.29,4,9.65,1:09.46,3,9.22,1:08.30,1,9.00,1:07.91
2,8.69,1:16.98,4,10.16,1:19.62,3,9.82,1:18.12,1,9.02,1:16.93
1,8.99,1:25.962,4,10.57,1:30.170,3,9.86,1:27.952,2,9.24,1:26.155
