KONYA Zsofia POSITION,KONYA Zsofia LAP TIME,KONYA Zsofia ELAPSED TIME,Vera ANTANENKA POSITION,Vera ANTANENKA LAP TIME,Vera ANTANENKA ELAPSED TIME,Valerie MALTAIS POSITION,Valerie MALTAIS LAP TIME,Valerie MALTAIS ELAPSED TIME,KIM Min-Jung POSITION,KIM Min-Jung LAP TIME,KIM Min-Jung ELAPSED TIME,Ranya EZZI POSITION,Ranya EZZI LAP TIME,Ranya EZZI ELAPSED TIME,Deanna LOCKETT POSITION,Deanna LOCKETT LAP TIME,Deanna LOCKETT ELAPSED TIME
3,9.24,9.24,5,9.41,9.41,6,9.64,9.64,2,9.05,9.05,4,9.30,9.30,1,8.58,8.58
6,27.82,37.06,3,10.90,20.31,4,10.74,20.38,2,10.63,19.68,5,18.27,27.57,1,11.00,19.58
6,11.99,49.05,4,10.71,31.02,3,10.52,30.90,2,11.11,30.79,5,11.07,38.64,1,11.08,30.66
6,11.21,1:00.26,4,11.18,42.20,3,11.18,42.08,2,11.09,41.88,5,11.03,49.67,1,11.06,41.72
6,10.94,1:11.20,4,10.99,53.19,3,10.95,53.03,2,11.00,52.88,5,11.37,1:01.04,1,11.00,52.72
6,11.18,1:22.38,4,10.83,1:04.02,3,10.84,1:03.87,2,10.77,1:03.65,5,11.99,1:13.03,1,10.79,1:03.51
6,11.45,1:33.83,4,10.66,1:14.68,3,10.70,1:14.57,2,10.74,1:14.39,5,12.89,1:25.92,1,10.75,1:14.26
6,12.16,1:45.99,4,10.70,1:25.38,3,10.69,1:25.26,2,10.72,1:25.11,5,11.47,1:37.39,1,10.71,1:24.97
6,12.29,1:58.28,4,10.70,1:36.08,3,10.72,1:35.98,2,10.72,1:35.83,5,11.63,1:49.02,1,10.72,1:35.69
6,11.89,2:10.17,4,10.72,1:46.80,3,10.70,1:46.68,2,10.67,1:46.50,5,11.87,2:00.89,1,10.64,1:46.33
6,12.25,2:22.42,4,10.36,1:57.16,3,10.27,1:56.95,2,10.32,1:56.82,5,12.15,2:13.04,1,10.34,1:56.67
6,12.49,2:34.91,4,10.52,2:07.68,3,9.99,2:06.94,1,9.98,2:06.80,5,12.73,2:25.77,2,10.15,2:06.82
6,12.82,2:47.73,4,10.94,2:18.62,2,9.84,2:16.78,1,9.84,2:16.64,5,12.39,2:38.16,3,10.39,2:17.21
6,13.11,3:00.832,4,11.40,2:30.012,2,9.99,2:26.762,1,10.00,2:26.639,5,17.15,2:55.306,3,10.19,2:27.393
