Aika KLEIN POSITION,Aika KLEIN LAP TIME,Aika KLEIN ELAPSED TIME,Sarah LINDSAY POSITION,Sarah LINDSAY LAP TIME,Sarah LINDSAY ELAPSED TIME,Amelie GOULET-NADON POSITION,Amelie GOULET-NADON LAP TIME,Amelie GOULET-NADON ELAPSED TIME,Allison BAVER POSITION,Allison BAVER LAP TIME,Allison BAVER ELAPSED TIME,Yuka KAMINO POSITION,Yuka KAMINO LAP TIME,Yuka KAMINO ELAPSED TIME
3,14.707,14.707,2,14.483,14.483,5,14.867,14.867,4,14.713,14.713,1,14.247,14.247
3,10.598,25.305,1,10.539,25.022,5,10.680,25.546,2,10.542,25.255,4,11.106,25.352
4,9.944,35.248,1,9.876,34.898,5,9.812,35.358,2,9.798,35.052,3,9.822,35.173
5,29.285,1:04.533,1,10.108,45.006,4,10.009,45.367,2,10.033,45.085,3,9.998,45.170
5,14.536,1:19.069,1,10.068,55.073,3,9.913,55.279,2,10.176,55.261,4,10.233,55.403
4,11.654,1:30.722,2,10.058,1:05.131,1,9.685,1:04.964,3,26.256,1:21.516,5,42.013,1:37.415
4,10.942,1:41.663,2,10.935,1:16.066,1,10.630,1:15.593,3,14.146,1:35.662,5,15.353,1:52.768
3,7.441,1:49.104,2,12.086,1:28.151,1,11.628,1:27.220,4,14.041,1:49.702,5,13.882,2:06.649
4,15.12,2:04.217,2,13.20,1:41.349,1,12.47,1:39.682,3,13.12,2:02.813,0,,DQ
