Blake SKJELLERUP POSITION,Blake SKJELLERUP LAP TIME,Blake SKJELLERUP ELAPSED TIME,Gianluigi NOVER POSITION,Gianluigi NOVER LAP TIME,Gianluigi NOVER ELAPSED TIME,Serhiy LIFYRENKO POSITION,Serhiy LIFYRENKO LAP TIME,Serhiy LIFYRENKO ELAPSED TIME,Ingmar van RIEL POSITION,Ingmar van RIEL LAP TIME,Ingmar van RIEL ELAPSED TIME
4,7.17,7.17,3,7.10,7.10,2,6.95,6.95,1,6.88,6.88
4,9.25,16.43,3,9.29,16.39,2,9.18,16.13,1,9.15,16.03
3,8.79,25.22,4,8.90,25.30,2,9.04,25.17,1,8.73,24.76
3,9.26,34.48,2,9.07,34.38,4,10.86,36.04,1,8.92,33.68
0,,DQ,2,9.58,43.957,3,10.34,46.374,1,9.46,43.134
