Aika KLEIN POSITION,Aika KLEIN LAP TIME,Aika KLEIN ELAPSED TIME,Marta CAPURSO POSITION,Marta CAPURSO LAP TIME,Marta CAPURSO ELAPSED TIME,Sanne van KERKHOF POSITION,Sanne van KERKHOF LAP TIME,Sanne van KERKHOF ELAPSED TIME,Carly WILSON POSITION,Carly WILSON LAP TIME,Carly WILSON ELAPSED TIME,Katalin KRISTO POSITION,Katalin KRISTO LAP TIME,Katalin KRISTO ELAPSED TIME,Mika OZAWA POSITION,Mika OZAWA LAP TIME,Mika OZAWA ELAPSED TIME
2,10.190,1:48.580,1,10.330,1:48.570,5,10.500,1:49.330,6,10.460,1:49.400,4,10.160,1:48.860,3,9.800,1:48.620
3,10.050,1:58.630,1,9.930,1:58.500,5,9.920,1:59.260,6,9.910,1:59.310,4,10.050,1:58.920,2,10.000,1:58.630
3,10.380,2:09.010,1,10.320,2:08.820,5,10.990,2:10.250,6,10.950,2:10.260,4,10.570,2:09.490,2,10.290,2:08.920
6,10.890,2:19.910,1,10.170,2:18.990,2,8.830,2:19.080,3,8.860,2:19.130,5,9.820,2:19.320,4,10.200,2:19.130
6,11.290,2:31.200,5,10.650,2:29.640,4,10.360,2:29.440,2,10.190,2:29.320,3,10.060,2:29.390,1,10.150,2:29.290
0,,,0,,,0,,,0,,,0,,,0,,
0,,,0,,,0,,,0,,,0,,,0,,
0,,,0,,,0,,,0,,,0,,,0,,
0,,,0,,,0,,,0,,,0,,,0,,
0,,,0,,,0,,,0,,,0,,,0,,
0,,,0,,,0,,,0,,,0,,,0,,
0,,,0,,,0,,,0,,,0,,,0,,
0,,,0,,,0,,,0,,,0,,,0,,
0,,,0,,,0,,,0,,,0,,,0,,
