Victor AN POSITION,Victor AN LAP TIME,Victor AN ELAPSED TIME,Thibault CROLET POSITION,Thibault CROLET LAP TIME,Thibault CROLET ELAPSED TIME,Blake SKJELLERUP POSITION,Blake SKJELLERUP LAP TIME,Blake SKJELLERUP ELAPSED TIME
2,13.38,13.38,3,13.48,13.48,1,13.28,13.28
2,9.82,23.20,3,9.82,23.30,1,9.82,23.10
2,9.60,32.80,3,9.60,32.90,1,9.61,32.71
2,9.53,42.33,3,9.53,42.43,1,9.53,42.24
2,9.57,51.90,3,9.56,51.99,1,9.57,51.81
1,9.48,1:01.38,3,9.53,1:01.52,2,9.66,1:01.47
1,9.15,1:10.53,2,9.18,1:10.70,3,9.38,1:10.85
1,8.99,1:19.52,2,9.19,1:19.89,3,9.48,1:20.33
1,9.14,1:28.659,2,9.60,1:29.487,3,9.93,1:30.256
