SONG Weilong POSITION,SONG Weilong LAP TIME,SONG Weilong ELAPSED TIME,Viktor KOROLOV POSITION,Viktor KOROLOV LAP TIME,Viktor KOROLOV ELAPSED TIME,Yuma SAKURAI POSITION,Yuma SAKURAI LAP TIME,Yuma SAKURAI ELAPSED TIME,Aydar BEKZHANOV POSITION,Aydar BEKZHANOV LAP TIME,Aydar BEKZHANOV ELAPSED TIME
2,13.18,13.18,3,13.30,13.30,1,12.98,12.98,4,13.38,13.38
3,10.46,23.64,4,10.42,23.72,1,10.45,23.43,2,10.15,23.53
3,10.11,33.75,4,10.17,33.89,1,10.08,33.51,2,10.10,33.63
3,9.72,43.47,4,9.74,43.63,1,9.71,43.22,2,9.72,43.35
3,9.47,52.94,4,9.51,53.14,1,9.43,52.65,2,9.48,52.83
3,9.18,1:02.12,4,9.41,1:02.55,1,9.22,1:01.87,2,9.16,1:01.99
3,9.29,1:11.41,4,9.64,1:12.19,1,9.30,1:11.17,2,9.35,1:11.34
2,9.24,1:20.65,4,10.13,1:22.32,1,9.46,1:20.63,3,9.55,1:20.89
1,9.34,1:29.984,4,10.60,1:32.911,2,9.66,1:30.289,3,10.08,1:30.970
