SAULITIS Jekabs POSITION,SAULITIS Jekabs LAP TIME,SAULITIS Jekabs ELAPSED TIME,Francois-Louis TREMBLAY POSITION,Francois-Louis TREMBLAY LAP TIME,Francois-Louis TREMBLAY ELAPSED TIME,Pieter GYSEL POSITION,Pieter GYSEL LAP TIME,Pieter GYSEL ELAPSED TIME,Aliaksandr ANTANENKA POSITION,Aliaksandr ANTANENKA LAP TIME,Aliaksandr ANTANENKA ELAPSED TIME
1,6.75,6.75,2,7.00,7.00,3,7.02,7.02,4,7.24,7.24
3,9.54,16.29,1,9.01,16.02,2,9.05,16.08,4,9.36,16.60
3,9.11,25.41,1,8.25,24.27,2,8.33,24.41,4,8.98,25.59
3,9.14,34.56,1,8.75,33.02,2,8.94,33.35,4,9.11,34.71
3,9.44,43.991,1,8.99,42.003,2,9.28,42.629,4,9.41,44.111
