Jeff SIMON POSITION,Jeff SIMON LAP TIME,Jeff SIMON ELAPSED TIME,Olivier JEAN POSITION,Olivier JEAN LAP TIME,Olivier JEAN ELAPSED TIME,Evgenii KOZULIN POSITION,Evgenii KOZULIN LAP TIME,Evgenii KOZULIN ELAPSED TIME,Richard SHOEBRIDGE POSITION,Richard SHOEBRIDGE LAP TIME,Richard SHOEBRIDGE ELAPSED TIME,WU Dajing POSITION,WU Dajing LAP TIME,WU Dajing ELAPSED TIME
1,7.04,7.04,2,7.13,7.13,5,7.31,7.31,3,7.23,7.23,4,7.23,7.23
2,9.47,16.51,1,9.30,16.43,4,9.39,16.70,5,9.69,16.92,3,9.36,16.59
2,8.77,25.28,1,8.75,25.18,3,8.68,25.38,5,8.80,25.72,4,8.86,25.45
2,8.64,33.92,1,8.64,33.82,3,8.73,34.11,5,8.71,34.43,4,8.79,34.24
2,8.82,42.740,1,8.83,42.643,3,8.81,42.914,5,8.96,43.382,4,8.81,43.046
