Federica TOMBOLATO POSITION,Federica TOMBOLATO LAP TIME,Federica TOMBOLATO ELAPSED TIME,Toko NANRI POSITION,Toko NANRI LAP TIME,Toko NANRI ELAPSED TIME,BACSKAI Sara Luca POSITION,BACSKAI Sara Luca LAP TIME,BACSKAI Sara Luca ELAPSED TIME,MALAGICH Emina POSITION,MALAGICH Emina LAP TIME,MALAGICH Emina ELAPSED TIME,Louise MILESI POSITION,Louise MILESI LAP TIME,Louise MILESI ELAPSED TIME
2,16.71,16.71,4,16.80,16.80,1,16.61,16.61,3,16.72,16.72,5,16.90,16.90
2,13.03,29.74,1,12.84,29.64,3,13.23,29.84,4,13.22,29.94,5,13.17,30.07
3,11.84,41.58,1,11.70,41.34,2,11.62,41.46,4,11.65,41.59,5,11.65,41.72
2,10.26,51.84,1,10.42,51.76,3,10.43,51.89,4,10.38,51.97,5,10.43,52.15
2,10.05,1:01.89,1,10.08,1:01.84,5,26.80,1:18.69,3,9.95,1:01.92,4,9.91,1:02.06
4,10.06,1:11.95,1,9.78,1:11.62,5,17.48,1:36.17,2,9.83,1:11.75,3,9.81,1:11.87
4,9.61,1:21.56,1,9.61,1:21.23,5,13.50,1:49.67,2,9.57,1:21.32,3,9.59,1:21.46
4,9.67,1:31.23,1,9.73,1:30.96,5,12.02,2:01.69,2,9.68,1:31.00,3,9.70,1:31.16
0,,PEN,2,9.92,1:40.873,4,11.56,2:13.247,1,9.68,1:40.674,3,9.90,1:41.054
