CONFORTOLA Yuri POSITION,CONFORTOLA Yuri LAP TIME,CONFORTOLA Yuri ELAPSED TIME,Lachlan HAY POSITION,Lachlan HAY LAP TIME,Lachlan HAY ELAPSED TIME,Shotaro TANAKA POSITION,Shotaro TANAKA LAP TIME,Shotaro TANAKA ELAPSED TIME,Alexander GERTSIKOV POSITION,Alexander GERTSIKOV LAP TIME,Alexander GERTSIKOV ELAPSED TIME
3,14.270,14.270,4,14.470,14.470,2,14.100,14.100,1,14.030,14.030
3,11.270,25.550,4,11.310,25.780,2,11.320,25.430,1,11.250,25.290
3,11.120,36.670,4,11.030,36.810,2,11.070,36.500,1,11.190,36.490
3,10.220,46.900,4,10.270,47.080,1,10.210,46.720,2,10.340,46.840
1,9.630,56.530,3,9.520,56.610,4,9.940,56.660,2,9.760,56.600
1,9.910,1:06.450,3,9.950,1:06.560,4,10.010,1:06.680,2,9.870,1:06.470
1,10.040,1:16.490,2,9.960,1:16.520,3,9.900,1:16.580,4,10.170,1:16.650
1,9.420,1:25.920,2,9.730,1:26.250,3,9.900,1:26.480,4,9.960,1:26.610
3,10.400,1:36.330,1,9.920,1:36.180,2,9.770,1:36.260,4,9.970,1:36.580
