Niels KERSTHOLT POSITION,Niels KERSTHOLT LAP TIME,Niels KERSTHOLT ELAPSED TIME,Lachlan HAY POSITION,Lachlan HAY LAP TIME,Lachlan HAY ELAPSED TIME,Felipe de SOUZA POSITION,Felipe de SOUZA LAP TIME,Felipe de SOUZA ELAPSED TIME,Roberto SERRA POSITION,Roberto SERRA LAP TIME,Roberto SERRA ELAPSED TIME,Apolo Anton OHNO POSITION,Apolo Anton OHNO LAP TIME,Apolo Anton OHNO ELAPSED TIME,Zbigniew BRODKA POSITION,Zbigniew BRODKA LAP TIME,Zbigniew BRODKA ELAPSED TIME
0,9.350,9.350,0,9.313,9.313,0,9.760,9.760,0,9.564,9.564,0,9.835,9.835,0,9.494,9.494
0,12.714,22.064,0,12.325,21.639,0,12.617,22.378,0,12.579,22.143,0,12.310,22.145,0,12.315,21.809
0,10.647,32.711,0,10.921,32.560,0,11.166,33.543,0,11.443,33.587,0,11.028,33.172,0,11.150,32.958
0,11.021,43.731,0,10.857,43.417,0,10.986,44.529,0,10.114,43.701,0,10.594,43.766,0,10.771,43.729
0,10.307,54.038,0,10.568,53.985,0,11.166,55.695,0,10.267,53.968,0,9.893,53.659,0,10.410,54.139
0,10.186,1:04.225,0,10.282,1:04.267,0,11.494,1:07.190,0,10.363,1:04.332,0,10.512,1:04.170,0,10.263,1:04.402
0,10.003,1:14.228,0,10.164,1:14.431,0,11.612,1:18.802,0,10.234,1:14.565,0,10.083,1:14.253,0,10.233,1:14.635
0,9.889,1:24.116,0,9.906,1:24.337,0,12.288,1:31.090,0,10.061,1:24.626,0,10.059,1:24.313,0,9.858,1:24.492
0,9.820,1:33.936,0,9.780,1:34.117,0,13.363,1:44.453,0,9.545,1:34.171,0,9.641,1:33.953,0,9.734,1:34.226
0,9.946,1:43.882,0,9.984,1:44.101,0,13.192,1:57.645,0,9.956,1:44.127,0,10.112,1:44.066,0,9.839,1:44.065
0,9.767,1:53.649,0,9.913,1:54.014,0,13.821,2:11.466,0,9.853,1:53.979,0,9.767,1:53.833,0,9.931,1:53.996
0,9.682,2:03.331,0,9.639,2:03.653,0,14.780,2:26.247,0,9.666,2:03.646,0,9.200,2:03.033,0,9.725,2:03.721
0,9.918,2:13.249,0,9.710,2:13.363,0,13.790,2:40.036,0,9.830,2:13.476,0,9.203,2:12.236,0,9.652,2:13.373
0,9.199,2:22.447,0,9.676,2:23.039,0,,,0,10.112,2:23.588,0,9.703,2:21.939,0,9.982,2:23.355
