Liesbeth MAU ASAM POSITION,Liesbeth MAU ASAM LAP TIME,Liesbeth MAU ASAM ELAPSED TIME,Paula BZURA POSITION,Paula BZURA LAP TIME,Paula BZURA ELAPSED TIME,ZHANG Hui POSITION,ZHANG Hui LAP TIME,ZHANG Hui ELAPSED TIME,Katalin KRISTO POSITION,Katalin KRISTO LAP TIME,Katalin KRISTO ELAPSED TIME,Katerina NOVOTNA POSITION,Katerina NOVOTNA LAP TIME,Katerina NOVOTNA ELAPSED TIME
5,9.38,9.38,2,9.24,9.24,3,9.25,9.25,1,9.12,9.12,4,9.36,9.36
4,13.48,22.86,2,13.42,22.66,3,13.43,22.68,1,13.41,22.53,5,13.70,23.06
4,12.52,35.38,3,12.61,35.27,1,12.41,35.09,2,12.64,35.17,5,12.50,35.56
5,12.81,48.19,3,12.68,47.95,1,12.68,47.77,2,12.70,47.87,4,12.49,48.05
5,12.85,1:01.04,3,12.89,1:00.84,1,12.82,1:00.59,2,12.82,1:00.69,4,12.89,1:00.94
5,12.91,1:13.95,4,13.01,1:13.85,1,13.03,1:13.62,2,13.06,1:13.75,3,12.90,1:13.84
3,10.96,1:24.91,5,11.18,1:25.03,4,11.30,1:24.92,2,11.15,1:24.90,1,10.98,1:24.82
1,9.89,1:34.80,5,10.46,1:35.49,4,10.49,1:35.41,3,10.39,1:35.29,2,10.40,1:35.22
1,10.73,1:45.53,4,10.31,1:45.80,2,10.13,1:45.54,5,10.53,1:45.82,3,10.53,1:45.75
2,10.48,1:56.01,4,10.42,1:56.22,1,10.38,1:55.92,5,10.49,1:56.31,3,10.36,1:56.11
2,10.72,2:06.73,4,10.59,2:06.81,1,10.68,2:06.60,5,10.64,2:06.95,3,10.63,2:06.74
3,10.26,2:16.99,4,10.29,2:17.10,1,10.16,2:16.76,5,10.50,2:17.45,2,10.14,2:16.88
4,10.48,2:27.47,3,10.01,2:27.11,1,10.06,2:26.82,5,10.46,2:27.91,2,10.03,2:26.91
3,10.77,2:38.234,0,,DQ,1,10.23,2:37.045,4,10.70,2:38.610,2,10.26,2:37.166
