Pieter GYSEL POSITION,Pieter GYSEL LAP TIME,Pieter GYSEL ELAPSED TIME,Freek van der WART POSITION,Freek van der WART LAP TIME,Freek van der WART ELAPSED TIME,Nicola RODIGARI POSITION,Nicola RODIGARI LAP TIME,Nicola RODIGARI ELAPSED TIME,Gabor GALAMBOS POSITION,Gabor GALAMBOS LAP TIME,Gabor GALAMBOS ELAPSED TIME,Dmytro POLTAVETS POSITION,Dmytro POLTAVETS LAP TIME,Dmytro POLTAVETS ELAPSED TIME
3,12.680,12.680,2,12.600,12.600,4,12.680,12.680,1,12.440,12.440,5,12.900,12.900
1,9.360,22.040,3,9.660,22.270,4,9.650,22.330,2,9.690,22.140,5,9.520,22.430
1,9.570,31.610,4,9.600,31.880,2,9.390,31.730,3,9.610,31.750,5,9.450,31.890
1,9.560,41.180,4,9.550,41.430,2,9.460,41.190,3,9.520,41.280,5,9.550,41.440
2,9.660,50.840,4,9.540,50.980,1,9.520,50.720,3,9.640,50.920,5,9.550,51.000
1,9.240,1:00.080,4,9.410,1:00.390,3,9.510,1:00.230,2,9.200,1:00.130,5,9.440,1:00.450
2,9.510,1:09.600,4,9.380,1:09.770,3,9.410,1:09.650,1,9.400,1:09.540,5,9.920,1:10.370
4,9.940,1:19.540,2,9.360,1:19.130,3,9.610,1:19.270,1,9.490,1:19.040,5,10.140,1:20.520
5,11.280,1:30.820,2,9.740,1:28.880,3,9.660,1:28.940,1,9.680,1:28.720,4,10.180,1:30.700
