YAKIMOVA Anna POSITION,YAKIMOVA Anna LAP TIME,YAKIMOVA Anna ELAPSED TIME,Anastassiya KRESTOVA POSITION,Anastassiya KRESTOVA LAP TIME,Anastassiya KRESTOVA ELAPSED TIME,FAN Kexin POSITION,FAN Kexin LAP TIME,FAN Kexin ELAPSED TIME,CHOI Min Jeong POSITION,CHOI Min Jeong LAP TIME,CHOI Min Jeong ELAPSED TIME,Selma POUTSMA POSITION,Selma POUTSMA LAP TIME,Selma POUTSMA ELAPSED TIME
2,14.05,14.05,1,13.92,13.92,4,14.36,14.36,5,14.47,14.47,3,14.17,14.17
2,10.28,24.33,1,10.30,24.22,3,10.06,24.42,5,10.11,24.58,4,10.31,24.48
2,9.54,33.87,1,9.55,33.77,3,9.58,34.00,5,9.54,34.12,4,9.61,34.09
3,9.54,43.41,1,9.47,43.24,2,9.34,43.34,5,9.46,43.58,4,9.37,43.46
4,9.63,53.04,2,9.51,52.75,1,9.33,52.67,5,9.58,53.16,3,9.40,52.86
5,9.78,1:02.82,2,9.86,1:02.61,1,9.86,1:02.53,4,9.62,1:02.78,3,9.86,1:02.72
5,10.18,1:13.00,2,10.18,1:12.79,1,10.14,1:12.67,3,10.06,1:12.84,4,10.17,1:12.89
5,10.66,1:23.66,3,10.07,1:22.86,2,10.11,1:22.78,1,9.27,1:22.11,4,10.13,1:23.02
5,11.05,1:34.698,3,10.07,1:32.916,2,10.07,1:32.831,1,9.32,1:31.412,4,10.07,1:33.065
