Ryosuke SAKAZUME POSITION,Ryosuke SAKAZUME LAP TIME,Ryosuke SAKAZUME ELAPSED TIME,Niels KERSTHOLT POSITION,Niels KERSTHOLT LAP TIME,Niels KERSTHOLT ELAPSED TIME,Olivier JEAN POSITION,Olivier JEAN LAP TIME,Olivier JEAN ELAPSED TIME,Jeff SIMON POSITION,Jeff SIMON LAP TIME,Jeff SIMON ELAPSED TIME,Alexander GERTSIKOV POSITION,Alexander GERTSIKOV LAP TIME,Alexander GERTSIKOV ELAPSED TIME
3,8.38,8.38,1,7.89,7.89,2,8.21,8.21,4,8.38,8.38,5,8.66,8.66
4,12.42,20.80,1,12.38,20.28,3,12.19,20.40,2,12.01,20.39,5,12.16,20.82
5,11.45,32.26,1,11.56,31.84,3,11.49,31.90,2,11.46,31.85,4,11.24,32.06
5,11.05,43.32,3,11.17,43.02,1,11.08,42.98,4,11.25,43.11,2,10.92,42.99
5,10.02,53.34,4,10.08,53.10,2,9.97,52.96,3,9.85,52.96,1,9.83,52.82
4,9.64,1:02.99,5,10.01,1:03.11,3,9.74,1:02.71,1,9.62,1:02.58,2,9.82,1:02.64
4,9.61,1:12.60,5,9.59,1:12.70,1,9.69,1:12.40,3,9.90,1:12.48,2,9.75,1:12.40
4,9.69,1:22.30,5,9.59,1:22.30,1,9.61,1:22.02,3,9.71,1:22.20,2,9.61,1:22.02
4,9.39,1:31.69,5,9.50,1:31.80,1,9.41,1:31.43,3,9.34,1:31.55,2,9.50,1:31.53
4,9.22,1:40.92,5,9.30,1:41.11,1,8.96,1:40.40,3,9.16,1:40.71,2,9.17,1:40.71
5,9.35,1:50.27,3,9.10,1:50.21,1,8.89,1:49.30,2,8.93,1:49.65,4,9.52,1:50.23
4,9.40,1:59.67,5,9.47,1:59.68,2,9.40,1:58.71,1,8.91,1:58.56,3,9.38,1:59.61
5,9.95,2:09.63,4,9.91,2:09.59,2,9.62,2:08.33,1,9.39,2:07.96,3,9.87,2:09.48
5,10.41,2:20.035,3,10.12,2:19.703,2,10.62,2:18.949,1,10.22,2:18.173,4,10.51,2:19.985
