SAULITIS Jekabs POSITION,SAULITIS Jekabs LAP TIME,SAULITIS Jekabs ELAPSED TIME,Ryosuke SAKAZUME POSITION,Ryosuke SAKAZUME LAP TIME,Ryosuke SAKAZUME ELAPSED TIME,Olivier JEAN POSITION,Olivier JEAN LAP TIME,Olivier JEAN ELAPSED TIME,Shaolin Sandor LIU POSITION,Shaolin Sandor LIU LAP TIME,Shaolin Sandor LIU ELAPSED TIME
4,16.13,16.13,2,16.04,16.04,3,16.04,16.04,1,15.91,15.91
4,11.51,27.64,3,11.49,27.53,1,11.28,27.32,2,11.51,27.42
4,10.54,38.18,3,10.55,38.08,1,10.56,37.88,2,10.57,37.99
4,9.95,48.13,2,9.85,47.93,1,10.00,47.88,3,9.97,47.96
4,9.47,57.60,1,9.33,57.26,2,9.46,57.34,3,9.46,57.42
4,9.40,1:07.00,1,9.20,1:06.46,3,9.38,1:06.72,2,9.17,1:06.59
4,9.39,1:16.39,1,9.05,1:15.51,3,8.95,1:15.67,2,9.03,1:15.62
3,9.72,1:26.11,1,9.06,1:24.57,4,12.61,1:28.28,2,9.10,1:24.72
3,10.15,1:36.256,1,9.32,1:33.882,4,16.88,1:45.157,2,9.42,1:34.131
