HAMELIN Charles POSITION,HAMELIN Charles LAP TIME,HAMELIN Charles ELAPSED TIME,DOTTI Tommaso POSITION,DOTTI Tommaso LAP TIME,DOTTI Tommaso ELAPSED TIME,de LAAT Itzhak POSITION,de LAAT Itzhak LAP TIME,de LAAT Itzhak ELAPSED TIME,Shaolin Sandor LIU POSITION,Shaolin Sandor LIU LAP TIME,Shaolin Sandor LIU ELAPSED TIME,Thibaut FAUCONNET POSITION,Thibaut FAUCONNET LAP TIME,Thibaut FAUCONNET ELAPSED TIME,CONFORTOLA Yuri POSITION,CONFORTOLA Yuri LAP TIME,CONFORTOLA Yuri ELAPSED TIME
1,12.32,12.32,2,12.40,12.40,3,12.49,12.49,4,12.61,12.61,5,12.70,12.70,6,12.74,12.74
1,9.50,21.82,3,9.54,21.94,4,9.58,22.07,5,9.61,22.22,6,9.61,22.31,2,9.10,21.84
1,8.69,30.51,3,8.76,30.70,4,8.73,30.80,5,8.68,30.90,6,8.69,31.00,2,8.77,30.61
1,8.96,39.47,3,8.93,39.63,4,8.90,39.70,5,8.87,39.77,6,8.79,39.79,2,8.93,39.54
1,9.05,48.52,4,9.18,48.81,3,9.02,48.72,6,9.21,48.98,5,9.09,48.88,2,9.08,48.62
1,8.96,57.48,4,8.94,57.75,3,8.92,57.64,5,8.84,57.82,6,8.96,57.84,2,8.94,57.56
1,8.96,1:06.44,6,9.13,1:06.88,4,9.05,1:06.69,3,8.72,1:06.54,5,8.96,1:06.80,2,8.97,1:06.53
1,8.96,1:15.40,6,9.08,1:15.96,4,9.06,1:15.75,2,8.96,1:15.50,5,9.02,1:15.82,3,9.09,1:15.62
2,8.96,1:24.351,6,9.11,1:25.054,4,9.15,1:24.887,1,8.81,1:24.297,5,9.17,1:24.971,3,9.08,1:24.685
