Jose Ignacio FAZIO POSITION,Jose Ignacio FAZIO LAP TIME,Jose Ignacio FAZIO ELAPSED TIME,Jonathan LOPEZ POSITION,Jonathan LOPEZ LAP TIME,Jonathan LOPEZ ELAPSED TIME,CHEN Dequan POSITION,CHEN Dequan LAP TIME,CHEN Dequan ELAPSED TIME,Daisuke UEMURA POSITION,Daisuke UEMURA LAP TIME,Daisuke UEMURA ELAPSED TIME
1,7.07,7.07,4,7.63,7.63,2,7.08,7.08,3,7.26,7.26
3,9.77,16.84,4,10.03,17.66,1,9.06,16.14,2,9.43,16.69
3,9.39,26.23,4,9.50,27.16,1,8.66,24.80,2,8.85,25.54
3,9.49,35.72,4,9.63,36.79,1,8.71,33.51,2,9.03,34.57
3,9.79,45.505,4,10.01,46.800,1,8.81,42.318,2,9.11,43.680
