BLAIS Danae POSITION,BLAIS Danae LAP TIME,BLAIS Danae ELAPSED TIME,Alison DESMARAIS POSITION,Alison DESMARAIS LAP TIME,Alison DESMARAIS ELAPSED TIME,KIKUCHI Yuki POSITION,KIKUCHI Yuki LAP TIME,KIKUCHI Yuki ELAPSED TIME,BOTTER GOMEZ Nicole POSITION,BOTTER GOMEZ Nicole LAP TIME,BOTTER GOMEZ Nicole ELAPSED TIME
2,7.48,7.48,1,7.35,7.35,4,7.78,7.78,3,7.61,7.61
2,9.42,16.90,1,9.45,16.80,4,9.43,17.21,3,9.41,17.02
2,9.08,25.98,1,9.07,25.87,4,8.96,26.17,3,8.99,26.01
4,9.45,35.43,2,9.46,35.33,1,9.10,35.27,3,9.38,35.39
3,9.39,44.826,2,9.43,44.767,1,9.37,44.64,4,9.58,44.973
