SHIM Suk Hee POSITION,SHIM Suk Hee LAP TIME,SHIM Suk Hee ELAPSED TIME,Jamie MACDONALD POSITION,Jamie MACDONALD LAP TIME,Jamie MACDONALD ELAPSED TIME,VALCEPINA Martina POSITION,VALCEPINA Martina LAP TIME,VALCEPINA Martina ELAPSED TIME,SEJPALOVA-HRUZOVA Michaela POSITION,SEJPALOVA-HRUZOVA Michaela LAP TIME,SEJPALOVA-HRUZOVA Michaela ELAPSED TIME,KAMINAGA Shione POSITION,KAMINAGA Shione LAP TIME,KAMINAGA Shione ELAPSED TIME
3,7.57,7.57,2,7.43,7.43,1,7.24,7.24,4,7.98,7.98,5,8.25,8.25
3,9.54,17.11,2,9.55,16.98,1,9.64,16.88,4,9.69,17.67,5,9.66,17.91
3,9.13,26.24,2,9.25,26.23,1,9.22,26.10,4,9.32,26.99,5,9.20,27.11
1,9.01,35.25,3,9.35,35.58,2,9.37,35.47,4,9.34,36.33,5,9.35,36.46
1,9.12,44.37,3,9.33,44.91,2,9.37,44.84,4,9.49,45.82,5,9.55,46.01
