Menderes EREN POSITION,Menderes EREN LAP TIME,Menderes EREN ELAPSED TIME,Paul STANLEY POSITION,Paul STANLEY LAP TIME,Paul STANLEY ELAPSED TIME,Kirill SHASHIN POSITION,Kirill SHASHIN LAP TIME,Kirill SHASHIN ELAPSED TIME,John-Henry KRUEGER POSITION,John-Henry KRUEGER LAP TIME,John-Henry KRUEGER ELAPSED TIME,Guillaume BASTILLE POSITION,Guillaume BASTILLE LAP TIME,Guillaume BASTILLE ELAPSED TIME,Alex VARNYU POSITION,Alex VARNYU LAP TIME,Alex VARNYU ELAPSED TIME
4,10.31,10.31,5,10.43,10.43,6,10.58,10.58,2,10.26,10.26,1,10.17,10.17,3,10.27,10.27
4,13.66,23.97,5,13.65,24.08,6,13.65,24.23,1,13.43,23.69,3,13.64,23.81,2,13.53,23.80
5,12.84,36.81,2,12.45,36.53,6,12.79,37.02,3,12.88,36.57,1,12.65,36.46,4,12.87,36.67
5,11.31,48.12,2,11.20,47.73,6,11.29,48.31,1,11.15,47.72,3,11.36,47.82,4,11.31,47.98
5,10.99,59.11,2,11.08,58.81,6,10.92,59.23,1,11.00,58.72,3,11.05,58.87,4,10.99,58.97
5,10.82,1:09.93,3,10.95,1:09.76,6,10.86,1:10.09,2,10.92,1:09.64,1,10.67,1:09.54,4,10.87,1:09.84
5,10.50,1:20.43,2,10.38,1:20.14,6,10.48,1:20.57,1,10.45,1:20.09,3,10.62,1:20.16,4,10.48,1:20.32
5,10.25,1:30.68,2,10.24,1:30.38,6,10.26,1:30.83,1,10.19,1:30.28,3,10.35,1:30.51,4,10.26,1:30.58
5,9.67,1:40.35,2,9.60,1:39.98,6,9.60,1:40.43,1,9.58,1:39.86,3,9.59,1:40.10,4,9.63,1:40.21
5,9.10,1:49.45,2,9.09,1:49.07,6,9.09,1:49.52,1,9.07,1:48.93,3,9.04,1:49.14,4,9.05,1:49.26
6,9.22,1:58.67,3,9.00,1:58.07,5,9.04,1:58.56,1,8.73,1:57.66,2,8.82,1:57.96,4,8.95,1:58.21
6,9.38,2:08.05,3,8.99,2:07.06,5,8.73,2:07.29,1,8.64,2:06.30,2,8.70,2:06.66,4,8.98,2:07.19
6,9.69,2:17.74,4,9.31,2:16.37,3,8.78,2:16.07,1,8.70,2:15.00,2,8.80,2:15.46,5,9.22,2:16.41
6,9.90,2:27.641,5,9.86,2:26.227,3,8.88,2:24.944,1,8.99,2:23.984,2,9.14,2:24.601,4,9.63,2:26.038
