WALTER Bianca POSITION,WALTER Bianca LAP TIME,WALTER Bianca ELAPSED TIME,Lucia PERETTI POSITION,Lucia PERETTI LAP TIME,Lucia PERETTI ELAPSED TIME,Mary GRACE POSITION,Mary GRACE LAP TIME,Mary GRACE ELAPSED TIME
1,7.480,7.480,3,8.440,8.440,2,7.990,7.990
1,9.770,17.250,2,8.850,17.290,3,9.840,17.830
1,9.480,26.730,2,9.630,26.930,3,9.590,27.430
1,9.630,36.360,2,9.620,36.550,3,9.620,37.060
2,10.190,46.560,1,9.800,46.360,3,23.400,1:00.460
