Dennis WALZER POSITION,Dennis WALZER LAP TIME,Dennis WALZER ELAPSED TIME,Nurbergen ZHUMAGAZIYEV POSITION,Nurbergen ZHUMAGAZIYEV LAP TIME,Nurbergen ZHUMAGAZIYEV ELAPSED TIME,Mark JACKSON POSITION,Mark JACKSON LAP TIME,Mark JACKSON ELAPSED TIME,Evgenii KOZULIN POSITION,Evgenii KOZULIN LAP TIME,Evgenii KOZULIN ELAPSED TIME
1,7.08,7.08,2,7.10,7.10,3,7.14,7.14,4,7.59,7.59
1,9.42,16.51,2,9.44,16.55,4,9.47,16.62,3,8.98,16.58
1,8.94,25.46,2,8.96,25.51,4,9.09,25.71,3,8.94,25.52
4,9.55,35.01,1,9.14,34.66,3,9.24,34.95,2,9.19,34.71
2,9.82,44.830,1,9.49,44.146,0,,DQ,0,,DQ
