Arianna FONTANA POSITION,Arianna FONTANA LAP TIME,Arianna FONTANA ELAPSED TIME,Valerie MALTAIS POSITION,Valerie MALTAIS LAP TIME,Valerie MALTAIS ELAPSED TIME,LI Jinyu POSITION,LI Jinyu LAP TIME,LI Jinyu ELAPSED TIME,Hitomi SAITO POSITION,Hitomi SAITO LAP TIME,Hitomi SAITO ELAPSED TIME
2,13.34,13.34,1,13.26,13.26,3,13.46,13.46,4,13.61,13.61
2,10.23,23.57,1,10.16,23.42,3,10.13,23.59,4,10.15,23.76
1,9.27,32.84,2,9.49,32.91,4,9.50,33.09,3,9.23,32.99
2,9.59,42.43,1,9.49,42.40,4,9.67,42.76,3,9.57,42.56
2,9.46,51.89,1,9.40,51.80,3,9.18,51.94,4,9.41,51.97
1,9.45,1:01.34,1,9.54,1:01.34,3,9.56,1:01.50,4,9.63,1:01.60
1,9.44,1:10.78,2,9.55,1:10.89,3,9.44,1:10.94,4,9.43,1:11.03
1,9.56,1:20.34,2,9.53,1:20.42,3,9.54,1:20.48,4,9.46,1:20.49
1,9.73,1:30.07,2,9.71,1:30.13,3,9.69,1:30.17,4,10.31,1:30.80
