Patricia TOTH POSITION,Patricia TOTH LAP TIME,Patricia TOTH ELAPSED TIME,Anne-Sophie DAVREUX POSITION,Anne-Sophie DAVREUX LAP TIME,Anne-Sophie DAVREUX ELAPSED TIME,Deanna LOCKETT POSITION,Deanna LOCKETT LAP TIME,Deanna LOCKETT ELAPSED TIME,Ylenia TOTA POSITION,Ylenia TOTA LAP TIME,Ylenia TOTA ELAPSED TIME,Annita van DOORN POSITION,Annita van DOORN LAP TIME,Annita van DOORN ELAPSED TIME
4,9.72,9.72,5,9.77,9.77,3,9.68,9.68,1,9.56,9.56,2,9.62,9.62
4,13.17,22.89,5,13.19,22.96,2,13.11,22.79,3,13.32,22.88,1,13.03,22.65
5,18.53,41.42,1,10.93,33.89,3,11.34,34.13,4,11.41,34.29,2,11.35,34.00
5,10.58,52.00,4,11.32,45.21,2,10.93,45.06,3,10.82,45.11,1,11.01,45.01
5,11.13,1:03.13,4,11.00,56.21,1,10.86,55.92,3,10.98,56.09,2,10.99,56.00
5,11.63,1:14.76,4,11.12,1:07.33,1,11.18,1:07.10,3,11.17,1:07.26,2,11.16,1:07.16
5,12.08,1:26.84,4,11.50,1:18.83,1,11.44,1:18.54,3,11.49,1:18.75,2,11.49,1:18.65
5,13.63,1:40.47,3,11.06,1:29.89,2,11.30,1:29.84,4,11.17,1:29.92,1,11.10,1:29.75
5,11.57,1:52.04,3,10.80,1:40.69,2,10.75,1:40.59,4,10.87,1:40.79,1,10.74,1:40.49
5,11.18,2:03.22,3,10.39,1:51.08,2,10.39,1:50.98,4,10.39,1:51.18,1,10.37,1:50.86
5,12.01,2:15.23,3,10.01,2:01.09,2,9.88,2:00.86,4,10.03,2:01.21,1,9.92,2:00.78
5,12.37,2:27.60,3,10.17,2:11.26,2,9.77,2:10.63,4,10.30,2:11.51,1,9.77,2:10.55
5,12.93,2:40.53,3,10.53,2:21.79,2,9.85,2:20.48,4,10.73,2:22.24,1,9.87,2:20.42
5,13.82,2:54.347,3,10.97,2:32.752,2,9.94,2:30.419,4,11.29,2:33.525,1,9.99,2:30.407
