Anna KRASTEVA POSITION,Anna KRASTEVA LAP TIME,Anna KRASTEVA ELAPSED TIME,WANG Meng POSITION,WANG Meng LAP TIME,WANG Meng ELAPSED TIME,JOO Min-Jin POSITION,JOO Min-Jin LAP TIME,JOO Min-Jin ELAPSED TIME
1,14.270,14.270,2,14.414,14.414,3,14.548,14.548
1,10.950,25.219,2,10.954,25.368,3,10.916,25.464
1,10.616,35.835,2,10.867,36.235,3,10.896,36.360
1,10.857,46.692,2,10.654,46.889,3,10.672,47.031
1,10.571,57.263,2,10.597,57.485,3,10.588,57.619
3,10.853,1:08.116,1,10.013,1:07.498,2,10.269,1:07.888
3,10.444,1:18.560,1,10.183,1:17.680,2,9.830,1:17.717
3,11.002,1:29.561,1,10.192,1:27.872,2,10.210,1:27.927
3,11.40,1:40.956,1,10.37,1:38.242,2,10.32,1:38.247
