PETRE Ward POSITION,PETRE Ward LAP TIME,PETRE Ward ELAPSED TIME,TREACY Ethan POSITION,TREACY Ethan LAP TIME,TREACY Ethan ELAPSED TIME,GEORGIEV Dimitar POSITION,GEORGIEV Dimitar LAP TIME,GEORGIEV Dimitar ELAPSED TIME,SU Jun-Peng POSITION,SU Jun-Peng LAP TIME,SU Jun-Peng ELAPSED TIME,TRAN Aaron POSITION,TRAN Aaron LAP TIME,TRAN Aaron ELAPSED TIME,LUEDTKE Adrian POSITION,LUEDTKE Adrian LAP TIME,LUEDTKE Adrian ELAPSED TIME
2,11.71,,4,12.03,12.03,3,11.84,11.84,1,11.49,11.49,5,12.36,12.36,6,12.60,12.60
3,15.63,,4,15.52,27.55,1,15.25,27.09,2,15.72,27.21,5,15.45,27.81,6,15.41,28.01
3,14.10,,4,14.04,41.59,1,14.07,41.16,2,14.08,41.29,5,13.94,41.75,6,13.89,41.90
3,13.53,,4,13.58,55.17,1,13.51,54.67,2,13.51,54.80,5,13.74,55.49,6,13.74,55.64
3,12.59,,5,12.54,1:07.71,1,12.55,1:07.22,2,12.61,1:07.41,4,12.14,1:07.63,6,12.12,1:07.76
4,10.03,,6,10.10,1:17.81,2,10.28,1:17.50,5,10.30,1:17.71,1,9.76,1:17.39,3,9.75,1:17.51
4,9.50,,6,9.49,1:27.30,3,9.47,1:26.97,5,9.49,1:27.20,1,9.48,1:26.87,2,9.42,1:26.93
4,9.42,,6,9.33,1:36.63,3,9.46,1:36.43,5,9.39,1:36.59,2,9.47,1:36.34,1,9.34,1:36.27
4,9.58,,2,9.24,1:45.87,5,9.67,1:46.10,6,9.69,1:46.28,3,9.57,1:45.91,1,9.54,1:45.81
4,8.81,,3,9.01,1:54.88,5,9.03,1:55.13,6,9.04,1:55.32,2,8.90,1:54.81,1,8.92,1:54.73
2,9.11,,3,9.15,2:04.03,5,9.14,2:04.27,6,9.06,2:04.38,1,9.17,2:03.98,4,9.40,2:04.13
2,9.38,,3,9.47,2:13.50,5,9.34,2:13.61,6,9.39,2:13.77,1,9.21,2:13.19,4,9.42,2:13.55
2,9.39,,4,9.52,2:23.02,6,9.68,2:23.29,5,9.43,2:23.20,1,9.14,2:22.33,3,9.26,2:22.81
3,9.45,,3,9.79,2:32.812,5,9.99,2:33.289,4,9.63,2:32.837,1,9.34,2:31.67,2,9.02,2:31.83
