Jakub GINTER POSITION,Jakub GINTER LAP TIME,Jakub GINTER ELAPSED TIME,Denis DOLGOPOLOV POSITION,Denis DOLGOPOLOV LAP TIME,Denis DOLGOPOLOV ELAPSED TIME,Marco BERTOLDI POSITION,Marco BERTOLDI LAP TIME,Marco BERTOLDI ELAPSED TIME,Takayuki MURATAKE POSITION,Takayuki MURATAKE LAP TIME,Takayuki MURATAKE ELAPSED TIME
1,13.839,13.839,4,14.150,14.150,2,13.860,13.860,3,14.065,14.065
1,11.231,25.070,3,11.208,25.357,2,11.275,25.136,4,11.322,25.387
2,10.587,35.657,1,10.260,35.617,3,10.691,35.827,4,10.596,35.983
4,10.179,45.836,3,10.150,45.766,1,9.824,45.651,2,9.772,45.755
2,9.867,55.703,3,10.030,55.796,1,9.887,55.538,4,10.104,55.860
3,10.104,1:05.807,4,10.057,1:05.853,1,10.081,1:05.619,2,9.930,1:05.790
3,9.850,1:15.657,4,22.522,1:28.375,1,9.607,1:15.226,2,9.731,1:15.520
3,9.779,1:25.437,4,35.096,2:03.471,1,9.565,1:24.791,2,9.353,1:24.874
3,10.003,1:35.440,4,20.698,2:24.169,2,9.924,1:34.715,1,9.806,1:34.680
