TREACY Farrell POSITION,TREACY Farrell LAP TIME,TREACY Farrell ELAPSED TIME,NAVARRO Tristan POSITION,NAVARRO Tristan LAP TIME,NAVARRO Tristan ELAPSED TIME,WILCZYK Szymon POSITION,WILCZYK Szymon LAP TIME,WILCZYK Szymon ELAPSED TIME,EMONS Friso POSITION,EMONS Friso LAP TIME,EMONS Friso ELAPSED TIME
4,18.24,18.24,2,17.95,17.95,3,18.07,18.07,1,17.84,17.84
4,12.44,30.68,2,12.48,30.43,3,12.48,30.55,1,12.47,30.31
4,10.58,41.26,1,10.58,41.01,3,10.61,41.16,1,10.70,41.01
3,9.25,50.51,1,9.37,50.38,4,9.36,50.52,2,9.44,50.45
3,9.16,59.67,2,9.19,59.57,4,9.31,59.83,1,9.03,59.48
3,8.93,1:08.60,2,8.98,1:08.55,4,8.92,1:08.75,1,8.95,1:08.43
3,8.99,1:17.59,2,8.77,1:17.32,4,9.06,1:17.81,1,8.80,1:17.23
3,8.88,1:26.47,2,8.75,1:26.07,4,9.51,1:27.32,1,8.75,1:25.98
3,9.44,1:35.91,2,9.01,1:35.08,4,10.65,1:37.97,1,9.01,1:34.99
