Andrea KESZLER POSITION,Andrea KESZLER LAP TIME,Andrea KESZLER ELAPSED TIME,Olena KORINCHUK POSITION,Olena KORINCHUK LAP TIME,Olena KORINCHUK ELAPSED TIME,Inna SIMONOVA POSITION,Inna SIMONOVA LAP TIME,Inna SIMONOVA ELAPSED TIME,PENCHEVA Zornica POSITION,PENCHEVA Zornica LAP TIME,PENCHEVA Zornica ELAPSED TIME
2,7.57,7.57,1,7.45,7.45,3,7.79,7.79,4,8.06,8.06
2,9.64,17.21,1,9.70,17.15,3,9.77,17.56,4,10.18,18.24
1,9.21,26.42,2,9.37,26.52,3,9.35,26.91,4,9.68,27.92
1,9.37,35.79,2,9.38,35.90,3,9.46,36.37,4,9.97,37.89
1,9.47,45.259,2,9.46,45.356,3,9.72,46.086,4,10.39,48.280
