SONG Weilong POSITION,SONG Weilong LAP TIME,SONG Weilong ELAPSED TIME,KIM Yong-Sung POSITION,KIM Yong-Sung LAP TIME,KIM Yong-Sung ELAPSED TIME,Tyson HEUNG POSITION,Tyson HEUNG LAP TIME,Tyson HEUNG ELAPSED TIME,Nicolas BEAN POSITION,Nicolas BEAN LAP TIME,Nicolas BEAN ELAPSED TIME
1,12.60,12.60,2,12.70,12.70,3,12.77,12.77,4,12.90,12.90
3,9.70,22.31,1,9.42,22.13,4,9.76,22.53,2,9.37,22.28
3,9.49,31.80,1,9.36,31.49,4,9.45,31.98,2,9.43,31.71
3,9.41,41.22,1,9.56,41.05,4,9.34,41.33,2,9.51,41.22
3,9.68,50.91,1,9.72,50.78,4,9.84,51.17,2,9.64,50.87
2,8.99,59.90,1,9.03,59.81,4,9.06,1:00.24,3,9.24,1:00.11
1,8.94,1:08.84,2,9.11,1:08.92,4,9.09,1:09.33,3,9.01,1:09.13
1,9.34,1:18.18,2,9.38,1:18.31,4,9.10,1:18.44,3,9.29,1:18.43
1,9.61,1:27.787,2,9.55,1:27.852,4,9.55,1:27.990,3,9.52,1:27.950
