Paul STANLEY POSITION,Paul STANLEY LAP TIME,Paul STANLEY ELAPSED TIME,Francois HAMELIN POSITION,Francois HAMELIN LAP TIME,Francois HAMELIN ELAPSED TIME,Emil KARNEEV POSITION,Emil KARNEEV LAP TIME,Emil KARNEEV ELAPSED TIME,BREEUWSMA Daan POSITION,BREEUWSMA Daan LAP TIME,BREEUWSMA Daan ELAPSED TIME
2,13.49,13.49,3,13.64,13.64,4,13.81,13.81,1,13.44,13.44
2,10.10,23.59,3,10.06,23.70,4,10.03,23.84,1,10.06,23.50
1,9.87,33.46,3,9.94,33.64,4,9.96,33.80,2,9.97,33.47
1,9.56,43.02,3,9.61,43.25,4,9.59,43.39,2,9.65,43.12
1,9.68,52.70,3,9.59,52.84,4,9.62,53.01,2,9.68,52.80
2,9.24,1:01.94,1,8.88,1:01.72,4,9.17,1:02.18,3,9.25,1:02.05
3,9.21,1:11.15,1,8.95,1:10.67,4,9.13,1:11.31,2,9.07,1:11.12
3,9.31,1:20.46,1,9.06,1:19.73,4,9.18,1:20.49,2,9.21,1:20.33
4,9.60,1:30.057,1,9.28,1:29.006,3,9.25,1:29.740,2,9.36,1:29.690
