Menderes EREN POSITION,Menderes EREN LAP TIME,Menderes EREN ELAPSED TIME,Miki CHONG POSITION,Miki CHONG LAP TIME,Miki CHONG ELAPSED TIME,Felix SPIEGL POSITION,Felix SPIEGL LAP TIME,Felix SPIEGL ELAPSED TIME,Eduard STRELKOV POSITION,Eduard STRELKOV LAP TIME,Eduard STRELKOV ELAPSED TIME,Armstrong LAZENBY POSITION,Armstrong LAZENBY LAP TIME,Armstrong LAZENBY ELAPSED TIME
2,13.56,13.56,5,15.02,15.02,1,13.40,13.40,3,13.73,13.73,4,14.03,14.03
3,10.07,23.63,5,11.80,26.82,1,10.02,23.42,2,9.79,23.52,4,9.69,23.72
3,10.03,33.66,5,11.81,38.63,1,10.02,33.44,2,10.01,33.53,4,10.07,33.79
3,9.96,43.62,5,11.92,50.55,1,9.96,43.40,2,9.99,43.52,4,9.97,43.76
3,9.87,53.49,5,13.07,1:03.62,1,9.89,53.29,2,9.87,53.39,4,9.80,53.56
4,10.24,1:03.73,5,12.79,1:16.41,2,10.24,1:03.53,1,10.01,1:03.40,3,10.05,1:03.61
4,10.38,1:14.11,5,13.18,1:29.59,2,10.28,1:13.81,1,10.23,1:13.63,3,10.34,1:13.95
4,10.43,1:24.54,5,13.57,1:43.16,2,10.44,1:24.25,1,10.15,1:23.78,3,10.39,1:24.34
4,24.05,1:48.584,5,13.63,1:56.787,2,10.74,1:34.990,1,10.76,1:34.533,3,10.72,1:35.059
