Dan IWASA POSITION,Dan IWASA LAP TIME,Dan IWASA ELAPSED TIME,TRAN Aaron POSITION,TRAN Aaron LAP TIME,TRAN Aaron ELAPSED TIME,Tomass BAKEVICS POSITION,Tomass BAKEVICS LAP TIME,Tomass BAKEVICS ELAPSED TIME,Gaston CHAVES POSITION,Gaston CHAVES LAP TIME,Gaston CHAVES ELAPSED TIME,CHEN Guang POSITION,CHEN Guang LAP TIME,CHEN Guang ELAPSED TIME
1,13.19,13.19,5,13.99,13.99,2,13.70,13.70,3,13.74,13.74,4,13.74,13.74
1,9.88,23.07,2,9.48,23.47,5,10.16,23.86,4,10.00,23.74,3,10.00,23.74
2,9.53,32.60,1,9.07,32.54,4,9.75,33.61,5,11.68,35.42,3,9.05,32.79
2,9.27,41.87,3,9.38,41.92,4,9.09,42.70,5,11.32,46.74,1,9.00,41.79
1,8.67,50.54,2,8.79,50.71,4,9.76,52.46,5,11.73,58.47,3,9.18,50.97
2,9.66,1:00.20,1,9.16,59.87,4,9.51,1:01.97,5,13.02,1:11.49,3,9.28,1:00.25
2,9.21,1:09.41,3,9.55,1:09.42,4,10.44,1:12.41,5,12.33,1:23.82,1,9.09,1:09.34
2,9.30,1:18.71,1,9.24,1:18.66,4,10.64,1:23.05,5,12.86,1:36.68,3,9.40,1:18.74
3,10.08,1:28.783,2,10.03,1:28.689,4,10.57,1:33.616,5,13.72,1:50.391,1,9.72,1:28.458
