Michael GILDAY POSITION,Michael GILDAY LAP TIME,Michael GILDAY ELAPSED TIME,Alexandre ST JEAN POSITION,Alexandre ST JEAN LAP TIME,Alexandre ST JEAN ELAPSED TIME,Vladimir GRIGOREV POSITION,Vladimir GRIGOREV LAP TIME,Vladimir GRIGOREV ELAPSED TIME,Jack WHELBOURNE POSITION,Jack WHELBOURNE LAP TIME,Jack WHELBOURNE ELAPSED TIME
4,7.24,7.24,1,6.90,6.90,2,7.03,7.03,3,7.21,7.21
4,9.01,16.25,1,8.95,15.85,2,8.82,15.85,3,8.94,16.15
3,8.49,24.74,1,8.79,24.64,2,8.86,24.71,4,8.63,24.78
3,8.86,33.60,1,8.76,33.40,4,9.12,33.83,2,8.69,33.47
3,9.03,42.621,1,9.09,42.481,4,9.55,43.376,2,9.04,42.505
