Dan IWASA POSITION,Dan IWASA LAP TIME,Dan IWASA ELAPSED TIME,Paul BEAUCHAMP POSITION,Paul BEAUCHAMP LAP TIME,Paul BEAUCHAMP ELAPSED TIME,Murray COCHRANE POSITION,Murray COCHRANE LAP TIME,Murray COCHRANE ELAPSED TIME,Alex BRYANT POSITION,Alex BRYANT LAP TIME,Alex BRYANT ELAPSED TIME,Maksim SIARHEYU POSITION,Maksim SIARHEYU LAP TIME,Maksim SIARHEYU ELAPSED TIME,SCHUBERT Christoph POSITION,SCHUBERT Christoph LAP TIME,SCHUBERT Christoph ELAPSED TIME,John-Henry KRUEGER POSITION,John-Henry KRUEGER LAP TIME,John-Henry KRUEGER ELAPSED TIME,CONFORTOLA Yuri POSITION,CONFORTOLA Yuri LAP TIME,CONFORTOLA Yuri ELAPSED TIME
2,8.13,8.13,3,8.21,8.21,1,8.01,8.01,4,8.37,,6,8.70,8.70,5,8.54,8.54,8,8.95,8.95,7,8.83,8.83
3,11.46,19.59,4,11.45,19.66,1,11.35,19.36,2,11.10,,6,11.13,19.83,5,11.14,19.68,8,11.16,20.11,7,11.17,20.00
4,11.19,30.78,8,11.41,31.07,1,11.17,30.53,2,11.21,,7,11.20,31.03,5,11.23,30.91,6,10.84,30.95,3,10.73,30.73
5,10.83,41.61,7,10.69,41.76,3,10.90,41.43,2,10.66,,8,10.78,41.81,6,10.76,41.67,4,10.57,41.52,1,10.51,41.24
6,11.08,52.69,5,10.91,52.67,3,11.02,52.45,1,10.90,,7,10.98,52.79,8,11.23,52.90,4,11.05,52.57,2,11.11,52.35
7,10.73,1:03.42,2,10.33,1:03.00,3,10.64,1:03.09,1,10.70,,8,10.73,1:03.52,6,10.30,1:03.20,5,10.61,1:03.18,4,10.75,1:03.10
6,10.20,1:13.62,4,10.42,1:13.42,7,10.57,1:13.66,2,10.18,,8,10.27,1:13.79,5,10.33,1:13.53,3,10.09,1:13.27,1,10.01,1:13.11
5,9.83,1:23.45,4,9.89,1:23.31,7,9.95,1:23.61,2,9.87,,6,9.74,1:23.53,8,10.14,1:23.67,3,9.91,1:23.18,1,9.86,1:22.97
5,9.82,1:33.27,4,9.86,1:33.17,7,9.78,1:33.39,2,9.94,,6,9.76,1:33.29,8,9.82,1:33.49,3,9.79,1:32.97,1,9.89,1:32.86
3,9.58,1:42.85,5,9.96,1:43.13,7,9.96,1:43.35,8,27.21,,4,9.78,1:43.07,6,9.68,1:43.17,1,9.65,1:42.62,2,9.87,1:42.73
3,9.56,1:52.41,7,10.13,1:53.26,6,9.49,1:52.84,8,13.58,,4,9.45,1:52.52,5,9.49,1:52.66,2,9.63,1:52.25,1,9.51,1:52.24
3,9.30,2:01.71,7,10.48,2:03.74,6,9.32,2:02.16,8,11.53,,4,9.34,2:01.86,5,9.33,2:01.99,1,9.24,2:01.49,2,9.38,2:01.62
3,9.38,2:11.09,7,11.05,2:14.79,6,9.36,2:11.52,8,11.46,,4,9.43,2:11.29,5,9.42,2:11.41,1,9.29,2:10.78,2,9.26,2:10.88
3,9.37,2:20.46,7,11.80,2:26.59,6,9.60,2:21.12,8,14.79,2:51.50,4,9.60,2:20.89,5,9.62,2:21.03,1,9.53,2:20.31,2,9.52,2:20.40
