LEPAPE Sebastien POSITION,LEPAPE Sebastien LAP TIME,LEPAPE Sebastien ELAPSED TIME,Shaolin Sandor LIU POSITION,Shaolin Sandor LIU LAP TIME,Shaolin Sandor LIU ELAPSED TIME,Aydar BEKZHANOV POSITION,Aydar BEKZHANOV LAP TIME,Aydar BEKZHANOV ELAPSED TIME,Pierre BODA POSITION,Pierre BODA LAP TIME,Pierre BODA ELAPSED TIME
2,14.94,14.94,3,15.03,15.03,1,14.94,14.94,4,15.15,15.15
2,10.96,25.90,3,10.96,25.99,1,10.85,25.79,4,10.95,26.10
1,10.78,36.68,3,10.85,36.84,2,10.97,36.76,4,10.86,36.96
1,10.11,46.79,3,10.16,47.00,2,10.13,46.89,4,10.14,47.10
1,9.74,56.53,3,9.72,56.72,2,9.74,56.63,4,9.75,56.85
1,9.15,1:05.68,2,9.06,1:05.78,3,9.15,1:05.78,4,9.05,1:05.90
1,8.89,1:14.57,3,9.06,1:14.84,2,8.96,1:14.74,4,8.98,1:14.88
1,8.91,1:23.48,3,8.82,1:23.66,2,8.91,1:23.65,4,9.03,1:23.91
1,9.13,1:32.608,2,9.09,1:32.742,3,9.23,1:32.880,4,9.01,1:32.914
